comune,provincia,regione,url,L'ALTRA EMILIA ROMAGNA,L'ALTRA EMILIA ROMAGNA_perc,MOVIMENTO 3V VACCINI VOGLIAMO VERITA',MOVIMENTO 3V VACCINI VOGLIAMO VERITA'_perc,POTERE AL POPOLO!,POTERE AL POPOLO!_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,VOLT EMILIA-ROMAGNA,VOLT EMILIA-ROMAGNA_perc,+EUROPA - PSI - PRI,+EUROPA - PSI - PRI_perc,BONACCINI PRESIDENTE,BONACCINI PRESIDENTE_perc,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA_perc,EUROPA VERDE,EUROPA VERDE_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,LEGA,LEGA_perc,FORZA ITALIA,FORZA ITALIA_perc,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!_perc,GIOVANI PER L'AMBIENTE,GIOVANI PER L'AMBIENTE_perc,TESORO CALABRIA CARLO TANSI PRESIDENTE,TESORO CALABRIA CARLO TANSI PRESIDENTE_perc,CALABRIA PULITA CON CARLO TANSI,CALABRIA PULITA CON CARLO TANSI_perc,CALABRIA LIBERA CON CARLO TANSI,CALABRIA LIBERA CON CARLO TANSI_perc,IO RESTO IN CALABRIA CON CALLIPO,IO RESTO IN CALABRIA CON CALLIPO_perc,DEMOCRATICI PROGRESSISTI CALABRIA,DEMOCRATICI PROGRESSISTI CALABRIA_perc,FORZA ITALIA BERLUSCONI PER SANTELLI,FORZA ITALIA BERLUSCONI PER SANTELLI_perc,JOLE SANTELLI PRESIDENTE,JOLE SANTELLI PRESIDENTE_perc,LEGA SALVINI CALABRIA,LEGA SALVINI CALABRIA_perc,GIORGIA MELONI FRATELLI D'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA_perc,CASA DELLE LIBERTA',CASA DELLE LIBERTA'_perc,CALABRIA LIBERTAS UNIONE DI CENTRO,CALABRIA LIBERTAS UNIONE DI CENTRO_perc,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL_perc,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT_perc,LUGLI STEFANO_total_votes,LUGLI STEFANO_total_perc,BATTAGLIA DOMENICO_total_votes,BATTAGLIA DOMENICO_total_perc,COLLOT MARTA_total_votes,COLLOT MARTA_total_perc,BENINI SIMONE_total_votes,BENINI SIMONE_total_perc,BONACCINI STEFANO_total_votes,BONACCINI STEFANO_total_perc,BERGAMINI LAURA_total_votes,BERGAMINI LAURA_total_perc,BORGONZONI LUCIA_total_votes,BORGONZONI LUCIA_total_perc,TANSI CARLO_total_votes,TANSI CARLO_total_perc,CALLIPO FILIPPO_total_votes,CALLIPO FILIPPO_total_perc,SANTELLI JOLE_total_votes,SANTELLI JOLE_total_perc,AIELLO FRANCESCO_total_votes,AIELLO FRANCESCO_total_perc
SALUDECIO,,,,3,0.21,17,1.19,0,0.0,78,5.44,332,23.15,2,0.14,9,0.63,94,6.56,8,0.56,21,1.46,11,0.77,566,39.47,43,3.0,16,1.12,87,6.07,21,1.46,5,0.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.21,14,0.98,0,0.0,82,5.72,523,36.47,12,0.84,759,52.93,0,0.0,0,0.0,0,0.0,0,0.0
SAN CLEMENTE,,,,7,0.27,22,0.86,0,0.0,178,6.92,677,26.33,2,0.08,22,0.86,130,5.06,18,0.7,27,1.05,13,0.51,965,37.53,80,3.11,41,1.59,161,6.26,8,0.31,10,0.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.31,22,0.86,0,0.0,151,5.87,1011,39.32,9,0.35,1304,50.72,0,0.0,0,0.0,0,0.0,0,0.0
SAN GIOVANNI IN MARIGNANO,,,,6,0.12,52,1.04,0,0.0,237,4.74,1614,32.31,11,0.22,57,1.14,209,4.18,56,1.12,104,2.08,24,0.48,1597,31.97,132,2.64,93,1.86,291,5.82,12,0.24,20,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.12,61,1.22,0,0.0,229,4.58,2337,46.78,34,0.68,2199,44.02,0,0.0,0,0.0,0,0.0,0,0.0
SAN LEO,,,,1,0.06,27,1.62,0,0.0,54,3.24,484,29.05,8,0.48,15,0.9,58,3.48,20,1.2,24,1.44,10,0.6,663,39.8,33,1.98,29,1.74,104,6.24,9,0.54,3,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.18,24,1.44,0,0.0,40,2.4,681,40.88,11,0.66,865,51.92,0,0.0,0,0.0,0,0.0,0,0.0
SANT'AGATA FELTRIA,,,,3,0.25,8,0.67,0,0.0,64,5.39,347,29.23,5,0.42,15,1.26,33,2.78,16,1.35,14,1.18,5,0.42,451,37.99,15,1.26,8,0.67,116,9.77,3,0.25,5,0.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.17,8,0.67,0,0.0,44,3.71,497,41.87,5,0.42,604,50.88,0,0.0,0,0.0,0,0.0,0,0.0
SANTARCANGELO DI ROMAGNA,,,,42,0.33,182,1.44,0,0.0,511,4.05,4041,32.05,26,0.21,157,1.25,595,4.72,473,3.75,190,1.51,62,0.49,4077,32.34,292,2.32,163,1.29,663,5.26,45,0.36,22,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39,0.31,163,1.29,0,0.0,421,3.34,6223,49.36,57,0.45,5432,43.09,0,0.0,0,0.0,0,0.0,0,0.0
TALAMELLO,,,,3,0.47,2,0.31,0,0.0,22,3.44,188,29.42,3,0.47,7,1.1,44,6.89,5,0.78,6,0.94,7,1.1,245,38.34,18,2.82,7,1.1,35,5.48,1,0.16,1,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.31,2,0.31,0,0.0,12,1.88,291,45.54,9,1.41,307,48.04,0,0.0,0,0.0,0,0.0,0,0.0
VERUCCHIO,,,,10,0.18,131,2.36,0,0.0,285,5.14,1669,30.08,28,0.5,40,0.72,263,4.74,99,1.78,63,1.14,30,0.54,1829,32.97,138,2.49,174,3.14,310,5.59,23,0.41,10,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.18,118,2.13,0,0.0,250,4.51,2464,44.41,31,0.56,2554,46.03,0,0.0,0,0.0,0,0.0,0,0.0
BRISIGHELLA,,,,10,0.24,28,0.66,15,0.36,156,3.7,1167,27.67,9,0.21,43,1.02,173,4.1,203,4.81,79,1.87,0,0.0,1346,31.92,60,1.42,45,1.07,525,12.45,11,0.26,8,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.17,29,0.69,15,0.36,117,2.77,1897,44.98,0,0.0,2049,48.59,0,0.0,0,0.0,0,0.0,0,0.0
CASOLA VALSENIO,,,,8,0.53,3,0.2,7,0.47,36,2.39,546,36.3,0,0.0,20,1.33,71,4.72,46,3.06,17,1.13,0,0.0,450,29.92,27,1.8,13,0.86,120,7.98,4,0.27,2,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.53,4,0.27,8,0.53,28,1.86,780,51.86,0,0.0,641,42.62,0,0.0,0,0.0,0,0.0,0,0.0
