comune,provincia,regione,url,GILET ARANCIONI,GILET ARANCIONI_perc,RICCI PRESIDENTE,RICCI PRESIDENTE_perc,ITALIA CIVICA,ITALIA CIVICA_perc,PROPOSTA UMBRIA,PROPOSTA UMBRIA_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,RICONQUISTARE L'ITALIA,RICONQUISTARE L'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,LEGA,LEGA_perc,UMBRIA CIVICA,UMBRIA CIVICA_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,BIANCONI PER L'UMBRIA,BIANCONI PER L'UMBRIA_perc,SINISTRA CIVICA VERDE,SINISTRA CIVICA VERDE_perc,EUROPA VERDE UMBRIA,EUROPA VERDE UMBRIA_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,POTERE AL POPOLO,POTERE AL POPOLO_perc,PARTITO COMUNISTA ITALIANO,PARTITO COMUNISTA ITALIANO_perc,PARTITO DELLE BUONE MANIERE,PARTITO DELLE BUONE MANIERE_perc,PAPPALARDO ANTONIO_total_votes,PAPPALARDO ANTONIO_total_perc,RICCI CLAUDIO_total_votes,RICCI CLAUDIO_total_perc,RUBICONDI ROSSANO_total_votes,RUBICONDI ROSSANO_total_perc,CARLETTI MARTINA_total_votes,CARLETTI MARTINA_total_perc,TESEI DONATELLA_total_votes,TESEI DONATELLA_total_perc,BIANCONI VINCENZO_total_votes,BIANCONI VINCENZO_total_perc,CAMUZZI EMILIANO_total_votes,CAMUZZI EMILIANO_total_perc,CIRILLO GIUSEPPE_total_votes,CIRILLO GIUSEPPE_total_perc
AVIGLIANO UMBRO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
BASCHI,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CALVI DELL'UMBRIA,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CASTEL GIORGIO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CASTEL VISCARDO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
FABRO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
FERENTILLO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
FICULLE,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
GIOVE,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
GUARDEA,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
LUGNANO IN TEVERINA,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
MONTECASTRILLI,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
MONTECCHIO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
MONTEFRANCO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
MONTEGABBIONE,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
MONTELEONE D'ORVIETO,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
NARNI,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
