Comune,Candidate,Total_Votes,Percentage
ALTO RENO TERME,BONACCINI STEFANO,Eletto pres.,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,Totale coalizione,0%
ALTO RENO TERME,BORGONZONI LUCIA,Eletto cons.,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,Totale coalizione,0%
ALTO RENO TERME,BENINI SIMONE,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,BERGAMINI LAURA,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,BATTAGLIA DOMENICO,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,COLLOT MARTA,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,LUGLI STEFANO,0,0%
ALTO RENO TERME,N/A,0,0%
ALTO RENO TERME,N/A,0,3.803
ALTO RENO TERME,N/A,0,3.663
ANZOLA DELL'EMILIA,BONACCINI STEFANO,Eletto pres.,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,Totale coalizione,0%
ANZOLA DELL'EMILIA,BORGONZONI LUCIA,Eletto cons.,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,Totale coalizione,0%
ANZOLA DELL'EMILIA,BENINI SIMONE,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,BERGAMINI LAURA,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,BATTAGLIA DOMENICO,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,COLLOT MARTA,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,LUGLI STEFANO,0,0%
ANZOLA DELL'EMILIA,N/A,0,0%
ANZOLA DELL'EMILIA,N/A,0,6.859
ANZOLA DELL'EMILIA,N/A,0,6.274
ARGELATO,BONACCINI STEFANO,Eletto pres.,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,Totale coalizione,0%
ARGELATO,BORGONZONI LUCIA,Eletto cons.,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,Totale coalizione,0%
ARGELATO,BENINI SIMONE,0,0%
ARGELATO,N/A,0,0%
ARGELATO,COLLOT MARTA,0,0%
ARGELATO,N/A,0,0%
ARGELATO,BERGAMINI LAURA,0,0%
ARGELATO,N/A,0,0%
ARGELATO,BATTAGLIA DOMENICO,0,0%
ARGELATO,N/A,0,0%
ARGELATO,LUGLI STEFANO,0,0%
ARGELATO,N/A,0,0%
ARGELATO,N/A,0,5.653
ARGELATO,N/A,0,5.162
BARICELLA,BONACCINI STEFANO,Eletto pres.,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,Totale coalizione,0%
BARICELLA,BORGONZONI LUCIA,Eletto cons.,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,Totale coalizione,0%
BARICELLA,BENINI SIMONE,0,0%
BARICELLA,N/A,0,0%
BARICELLA,BERGAMINI LAURA,0,0%
BARICELLA,N/A,0,0%
BARICELLA,COLLOT MARTA,0,0%
BARICELLA,N/A,0,0%
BARICELLA,BATTAGLIA DOMENICO,0,0%
BARICELLA,N/A,0,0%
BARICELLA,LUGLI STEFANO,0,0%
BARICELLA,N/A,0,0%
BARICELLA,N/A,0,3.603
BARICELLA,N/A,0,3.314
BENTIVOGLIO,BONACCINI STEFANO,Eletto pres.,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,Totale coalizione,0%
BENTIVOGLIO,BORGONZONI LUCIA,Eletto cons.,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,Totale coalizione,0%
BENTIVOGLIO,BENINI SIMONE,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,BERGAMINI LAURA,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,BATTAGLIA DOMENICO,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,COLLOT MARTA,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,LUGLI STEFANO,0,0%
BENTIVOGLIO,N/A,0,0%
BENTIVOGLIO,N/A,0,3.172
BENTIVOGLIO,N/A,0,2.923
BOLOGNA,BONACCINI STEFANO,Eletto pres.,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,Totale coalizione,0%
BOLOGNA,BORGONZONI LUCIA,Eletto cons.,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,Totale coalizione,0%
BOLOGNA,BENINI SIMONE,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,COLLOT MARTA,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,BERGAMINI LAURA,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,BATTAGLIA DOMENICO,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,LUGLI STEFANO,0,0%
BOLOGNA,N/A,0,0%
BOLOGNA,N/A,0,208.893
BOLOGNA,N/A,0,190.050
BORGO TOSSIGNANO,BONACCINI STEFANO,Eletto pres.,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,Totale coalizione,0%
BORGO TOSSIGNANO,BORGONZONI LUCIA,Eletto cons.,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,Totale coalizione,0%
BORGO TOSSIGNANO,BENINI SIMONE,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,BATTAGLIA DOMENICO,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,COLLOT MARTA,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,BERGAMINI LAURA,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,LUGLI STEFANO,0,0%
BORGO TOSSIGNANO,N/A,0,0%
BORGO TOSSIGNANO,N/A,0,1.633
BORGO TOSSIGNANO,N/A,0,1.555
BUDRIO,BONACCINI STEFANO,Eletto pres.,0%
BUDRIO,N/A,0,0%
