ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,8.9,21.45,537,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-58.51
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,26.34,60.27,1590,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-56.3
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,31.44,68.0,1898,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-53.76
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,43.06,68.0,2599,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-36.68
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,14.54,27.2,1406,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-46.54
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,37.73,65.89,3647,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-42.74
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,43.22,74.64,4178,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-42.1
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,53.56,74.64,5178,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-28.24
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,12.93,25.08,995,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-48.44
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,37.36,65.89,2876,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-43.3
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,42.69,75.31,3286,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-43.31
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,53.0,75.31,4080,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-29.62
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,13.2,25.78,707,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,-48.8
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,31.57,60.58,1691,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,-47.89
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,36.17,69.74,1937,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,-48.14
