ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Arenzano,Genova,Liguria,5395,4922,10317,17.57,14.54,1813,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340010,20.84
Regionali Speciali,Arenzano,Genova,Liguria,5395,4922,10317,36.95,34.74,3812,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340010,6.36
Regionali Speciali,Arenzano,Genova,Liguria,5395,4922,10317,42.13,44.89,4347,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340010,-6.15
Regionali Speciali,Arenzano,Genova,Liguria,5395,4922,10317,56.54,62.39,5833,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340010,-9.38
Regionali Speciali,Avegno,Genova,Liguria,1114,1130,2244,10.96,11.35,246,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340020,-3.44
Regionali Speciali,Avegno,Genova,Liguria,1114,1130,2244,31.73,30.0,712,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340020,5.77
Regionali Speciali,Avegno,Genova,Liguria,1114,1130,2244,36.54,40.61,820,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340020,-10.02
Regionali Speciali,Avegno,Genova,Liguria,1114,1130,2244,48.44,59.07,1087,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340020,-18.0
Regionali Speciali,Bargagli,Genova,Liguria,1119,1164,2283,10.86,12.0,248,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340030,-9.5
Regionali Speciali,Bargagli,Genova,Liguria,1119,1164,2283,27.16,30.27,620,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340030,-10.27
Regionali Speciali,Bargagli,Genova,Liguria,1119,1164,2283,30.92,37.95,706,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340030,-18.52
Regionali Speciali,Bargagli,Genova,Liguria,1119,1164,2283,42.71,51.99,975,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340030,-17.85
Regionali Speciali,Bogliasco,Genova,Liguria,2281,2123,4404,14.78,15.17,651,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340040,-2.57
Regionali Speciali,Bogliasco,Genova,Liguria,2281,2123,4404,33.4,30.73,1471,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340040,8.69
Regionali Speciali,Bogliasco,Genova,Liguria,2281,2123,4404,37.78,37.95,1664,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340040,-0.45
