ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Assisi,Terni,Umbria,11808,11172,22980,9.7,17.96,2230,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580010,-8.26
Regionali Speciali,Assisi,Terni,Umbria,11808,11172,22980,33.97,51.16,7807,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580010,-17.19
Regionali Speciali,Assisi,Terni,Umbria,11808,11172,22980,41.89,64.54,9626,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580010,-22.65
Regionali Speciali,Assisi,Terni,Umbria,11808,11172,22980,52.79,64.54,1791,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580010,-11.75
Regionali Speciali,Bastia Umbra,Terni,Umbria,8780,8253,17033,9.12,20.66,1553,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580020,-11.54
Regionali Speciali,Bastia Umbra,Terni,Umbria,8780,8253,17033,30.57,52.17,5207,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580020,-21.6
Regionali Speciali,Bastia Umbra,Terni,Umbria,8780,8253,17033,37.68,64.15,6418,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580020,-26.47
Regionali Speciali,Bastia Umbra,Terni,Umbria,8780,8253,17033,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580020,0.0
Regionali Speciali,Bettona,Terni,Umbria,1756,1689,3445,9.11,17.68,314,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580030,-8.57
Regionali Speciali,Bettona,Terni,Umbria,1756,1689,3445,31.35,53.82,1080,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580030,-22.47
Regionali Speciali,Bettona,Terni,Umbria,1756,1689,3445,38.55,66.62,1328,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580030,-28.07
Regionali Speciali,Bettona,Terni,Umbria,1756,1689,3445,54.31,66.62,1871,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580030,-12.31
Regionali Speciali,Bevagna,Terni,Umbria,2082,2157,4239,6.28,17.52,266,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580040,-11.24
Regionali Speciali,Bevagna,Terni,Umbria,2082,2157,4239,25.27,47.43,1071,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580040,-22.16
Regionali Speciali,Bevagna,Terni,Umbria,2082,2157,4239,33.38,61.34,1415,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580040,-27.96
Regionali Speciali,Bevagna,Terni,Umbria,2082,2157,4239,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580040,0.0
Regionali Speciali,Campello Sul Clitunno,Terni,Umbria,983,992,1975,8.76,18.83,173,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580050,-10.07
Regionali Speciali,Campello Sul Clitunno,Terni,Umbria,983,992,1975,25.77,48.51,509,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580050,-22.74
Regionali Speciali,Campello Sul Clitunno,Terni,Umbria,983,992,1975,31.34,62.24,619,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580050,-30.9
Regionali Speciali,Campello Sul Clitunno,Terni,Umbria,983,992,1975,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580050,0.0
Regionali Speciali,Cannara,Terni,Umbria,1754,1721,3475,10.42,18.91,362,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580060,-8.49
Regionali Speciali,Cannara,Terni,Umbria,1754,1721,3475,36.0,50.6,1251,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580060,-14.6
Regionali Speciali,Cannara,Terni,Umbria,1754,1721,3475,45.29,64.06,1574,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580060,-18.77
Regionali Speciali,Cannara,Terni,Umbria,1754,1721,3475,59.94,64.06,2083,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580060,-4.12
Regionali Speciali,Cascia,Terni,Umbria,1245,1256,2501,7.56,19.87,189,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580070,-12.31
Regionali Speciali,Cascia,Terni,Umbria,1245,1256,2501,29.75,55.7,744,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580070,-25.95
Regionali Speciali,Cascia,Terni,Umbria,1245,1256,2501,37.7,71.27,943,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580070,-33.57
Regionali Speciali,Cascia,Terni,Umbria,1245,1256,2501,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580070,0.0
Regionali Speciali,Castel Ritaldi,Terni,Umbria,1258,1234,2492,8.39,22.16,209,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580080,-13.77
Regionali Speciali,Castel Ritaldi,Terni,Umbria,1258,1234,2492,31.66,53.5,789,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580080,-21.84
Regionali Speciali,Castel Ritaldi,Terni,Umbria,1258,1234,2492,40.49,66.77,1009,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580080,-26.28
Regionali Speciali,Castel Ritaldi,Terni,Umbria,1258,1234,2492,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580080,0.0
Regionali Speciali,Castiglione Del Lago,Terni,Umbria,6169,5848,12017,8.61,18.91,1035,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580090,-10.3
Regionali Speciali,Castiglione Del Lago,Terni,Umbria,6169,5848,12017,27.74,51.21,3333,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580090,-23.47
Regionali Speciali,Castiglione Del Lago,Terni,Umbria,6169,5848,12017,32.88,61.03,3951,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580090,-28.15
Regionali Speciali,Castiglione Del Lago,Terni,Umbria,6169,5848,12017,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580090,0.0
Regionali Speciali,Cerreto Di Spoleto,Terni,Umbria,421,401,822,8.15,16.26,67,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580100,-8.11
Regionali Speciali,Cerreto Di Spoleto,Terni,Umbria,421,401,822,32.12,57.72,264,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580100,-25.6
Regionali Speciali,Cerreto Di Spoleto,Terni,Umbria,421,401,822,41.36,68.64,340,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580100,-27.28
Regionali Speciali,Cerreto Di Spoleto,Terni,Umbria,421,401,822,57.91,68.64,476,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580100,-10.73
Regionali Speciali,Citerna,Terni,Umbria,1450,1405,2855,8.79,18.42,251,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580110,-9.63
Regionali Speciali,Citerna,Terni,Umbria,1450,1405,2855,29.95,53.87,855,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580110,-23.92
Regionali Speciali,Citerna,Terni,Umbria,1450,1405,2855,35.76,63.59,1021,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580110,-27.83
Regionali Speciali,Citerna,Terni,Umbria,1450,1405,2855,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580110,0.0
Regionali Speciali,Citta' Della Pieve,Terni,Umbria,3229,2954,6183,8.91,18.06,551,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580120,-9.15
Regionali Speciali,Citta' Della Pieve,Terni,Umbria,3229,2954,6183,27.77,51.4,1717,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580120,-23.63
Regionali Speciali,Citta' Della Pieve,Terni,Umbria,3229,2954,6183,33.67,62.95,2082,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580120,-29.28
Regionali Speciali,Citta' Della Pieve,Terni,Umbria,3229,2954,6183,53.26,62.95,507,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580120,-9.69
Regionali Speciali,Citta' Di Castello,Terni,Umbria,16414,15405,31819,8.52,18.11,2712,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580130,-9.59
Regionali Speciali,Citta' Di Castello,Terni,Umbria,16414,15405,31819,31.93,55.85,10160,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580130,-23.92
Regionali Speciali,Citta' Di Castello,Terni,Umbria,16414,15405,31819,38.4,66.88,12217,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580130,-28.48
Regionali Speciali,Citta' Di Castello,Terni,Umbria,16414,15405,31819,54.0,66.88,7598,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580130,-12.88
Regionali Speciali,Collazzone,Terni,Umbria,1301,1286,2587,9.2,20.14,238,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580140,-10.94
Regionali Speciali,Collazzone,Terni,Umbria,1301,1286,2587,30.42,55.45,787,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580140,-25.03
Regionali Speciali,Collazzone,Terni,Umbria,1301,1286,2587,39.74,67.94,1028,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580140,-28.2
Regionali Speciali,Collazzone,Terni,Umbria,1301,1286,2587,56.44,67.94,1460,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580140,-11.5
Regionali Speciali,Corciano,Terni,Umbria,8790,8271,17061,9.91,19.95,1691,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580150,-10.04
Regionali Speciali,Corciano,Terni,Umbria,8790,8271,17061,33.63,54.13,5738,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580150,-20.5
Regionali Speciali,Corciano,Terni,Umbria,8790,8271,17061,40.46,67.67,6903,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580150,-27.21
Regionali Speciali,Corciano,Terni,Umbria,8790,8271,17061,54.09,67.67,3521,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580150,-13.58
Regionali Speciali,Costacciaro,Terni,Umbria,534,531,1065,9.3,18.37,99,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580160,-9.07
Regionali Speciali,Costacciaro,Terni,Umbria,534,531,1065,30.23,47.68,322,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580160,-17.45
Regionali Speciali,Costacciaro,Terni,Umbria,534,531,1065,36.9,56.96,393,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580160,-20.06
Regionali Speciali,Costacciaro,Terni,Umbria,534,531,1065,51.69,56.96,199,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580160,-5.27
Regionali Speciali,Deruta,Terni,Umbria,3831,3763,7594,8.98,18.88,682,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580170,-9.9
Regionali Speciali,Deruta,Terni,Umbria,3831,3763,7594,34.33,54.56,2607,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580170,-20.23
Regionali Speciali,Deruta,Terni,Umbria,3831,3763,7594,41.95,67.19,3186,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580170,-25.24
Regionali Speciali,Deruta,Terni,Umbria,3831,3763,7594,57.41,67.19,4360,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580170,-9.78
Regionali Speciali,Foligno,Terni,Umbria,23203,21379,44582,10.43,21.17,4648,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580180,-10.74
Regionali Speciali,Foligno,Terni,Umbria,23203,21379,44582,31.08,52.63,13857,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580180,-21.55
Regionali Speciali,Foligno,Terni,Umbria,23203,21379,44582,37.51,63.42,16721,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580180,-25.91
Regionali Speciali,Foligno,Terni,Umbria,23203,21379,44582,52.01,63.42,10944,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580180,-11.41
Regionali Speciali,Fossato Di Vico,Terni,Umbria,1141,1136,2277,8.74,17.43,199,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580190,-8.69
Regionali Speciali,Fossato Di Vico,Terni,Umbria,1141,1136,2277,27.49,49.82,626,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580190,-22.33
Regionali Speciali,Fossato Di Vico,Terni,Umbria,1141,1136,2277,32.28,58.3,735,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580190,-26.02
Regionali Speciali,Fossato Di Vico,Terni,Umbria,1141,1136,2277,39.15,58.3,500,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580190,-19.15
Regionali Speciali,Fratta Todina,Terni,Umbria,727,667,1394,11.69,18.34,163,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580200,-6.65
Regionali Speciali,Fratta Todina,Terni,Umbria,727,667,1394,39.24,57.7,547,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580200,-18.46
Regionali Speciali,Fratta Todina,Terni,Umbria,727,667,1394,47.92,74.77,668,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580200,-26.85
Regionali Speciali,Fratta Todina,Terni,Umbria,727,667,1394,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580200,0.0
Regionali Speciali,Giano Dell'Umbria,Terni,Umbria,1268,1271,2539,8.55,16.07,217,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580210,-7.52
Regionali Speciali,Giano Dell'Umbria,Terni,Umbria,1268,1271,2539,30.01,52.24,762,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580210,-22.23
Regionali Speciali,Giano Dell'Umbria,Terni,Umbria,1268,1271,2539,37.53,67.16,953,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580210,-29.63
Regionali Speciali,Giano Dell'Umbria,Terni,Umbria,1268,1271,2539,52.53,67.16,208,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580210,-14.63
Regionali Speciali,Gualdo Cattaneo,Terni,Umbria,2269,2268,4537,10.14,16.77,460,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580220,-6.63
Regionali Speciali,Gualdo Cattaneo,Terni,Umbria,2269,2268,4537,35.38,52.28,1605,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580220,-16.9
Regionali Speciali,Gualdo Cattaneo,Terni,Umbria,2269,2268,4537,44.26,67.8,2008,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580220,-23.54
Regionali Speciali,Gualdo Cattaneo,Terni,Umbria,2269,2268,4537,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580220,0.0
Regionali Speciali,Gualdo Tadino,Terni,Umbria,6542,6126,12668,10.25,19.78,1298,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580230,-9.53
Regionali Speciali,Gualdo Tadino,Terni,Umbria,6542,6126,12668,30.83,52.41,3906,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580230,-21.58
Regionali Speciali,Gualdo Tadino,Terni,Umbria,6542,6126,12668,36.38,63.07,4609,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580230,-26.69
Regionali Speciali,Gualdo Tadino,Terni,Umbria,6542,6126,12668,47.16,63.07,1799,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580230,-15.91
Regionali Speciali,Gubbio,Terni,Umbria,13855,13310,27165,7.55,16.86,2050,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580240,-9.31
Regionali Speciali,Gubbio,Terni,Umbria,13855,13310,27165,27.09,49.54,7360,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580240,-22.45
Regionali Speciali,Gubbio,Terni,Umbria,13855,13310,27165,33.49,61.52,9098,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580240,-28.03
Regionali Speciali,Gubbio,Terni,Umbria,13855,13310,27165,47.99,61.52,7215,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580240,-13.53
Regionali Speciali,Lisciano Niccone,Terni,Umbria,204,199,403,8.19,15.15,33,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580250,-6.96
Regionali Speciali,Lisciano Niccone,Terni,Umbria,204,199,403,31.02,51.05,125,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580250,-20.03
Regionali Speciali,Lisciano Niccone,Terni,Umbria,204,199,403,32.75,61.77,132,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580250,-29.02
Regionali Speciali,Lisciano Niccone,Terni,Umbria,204,199,403,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580250,0.0
Regionali Speciali,Magione,Terni,Umbria,6064,5892,11956,8.94,19.31,1069,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580260,-10.37
Regionali Speciali,Magione,Terni,Umbria,6064,5892,11956,28.73,51.35,3435,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580260,-22.62
Regionali Speciali,Magione,Terni,Umbria,6064,5892,11956,34.26,62.77,4096,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580260,-28.51
Regionali Speciali,Magione,Terni,Umbria,6064,5892,11956,47.11,62.77,3002,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580260,-15.66
Regionali Speciali,Marsciano,Terni,Umbria,7107,6855,13962,10.61,20.32,1481,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580270,-9.71
Regionali Speciali,Marsciano,Terni,Umbria,7107,6855,13962,36.2,57.17,5054,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580270,-20.97
Regionali Speciali,Marsciano,Terni,Umbria,7107,6855,13962,44.11,69.95,6159,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580270,-25.84
Regionali Speciali,Marsciano,Terni,Umbria,7107,6855,13962,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580270,0.0
Regionali Speciali,Massa Martana,Terni,Umbria,1474,1440,2914,8.1,18.22,236,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580280,-10.12
Regionali Speciali,Massa Martana,Terni,Umbria,1474,1440,2914,27.87,53.51,812,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580280,-25.64
Regionali Speciali,Massa Martana,Terni,Umbria,1474,1440,2914,34.9,68.8,1017,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580280,-33.9
Regionali Speciali,Massa Martana,Terni,Umbria,1474,1440,2914,51.41,68.8,1498,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580280,-17.39
Regionali Speciali,Monte Castello Di Vibio,Terni,Umbria,585,600,1185,9.28,19.5,110,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580290,-10.22
