cod,desc,tipo,tipo_comune,dt_agg,cod_ele,cod_regione,regione,cod_provincia,provincia,cod_provincia_2,cod_comune
070000000000,LIGURIA,RE,,20241029123920,7,07,LIGURIA,000,Unknown,000,0000
070340000000,GENOVA,CR,,20241029123920,7,07,LIGURIA,034,GENOVA,000,0000
070340340000,GENOVA,PR,,20241029123920,7,07,LIGURIA,034,GENOVA,034,0000
070340340010,ARENZANO,CM,N,20241028200750,7,07,LIGURIA,034,GENOVA,034,0010
070340340020,AVEGNO,CM,N,20241028194727,7,07,LIGURIA,034,GENOVA,034,0020
070340340030,BARGAGLI,CM,N,20241028220117,7,07,LIGURIA,034,GENOVA,034,0030
070340340040,BOGLIASCO,CM,N,20241028202526,7,07,LIGURIA,034,GENOVA,034,0040
070340340050,BORZONASCA,CM,N,20241028214533,7,07,LIGURIA,034,GENOVA,034,0050
070340340060,BUSALLA,CM,N,20241029123913,7,07,LIGURIA,034,GENOVA,034,0060
070340340070,CAMOGLI,CM,N,20241028201234,7,07,LIGURIA,034,GENOVA,034,0070
070340340080,CAMPO LIGURE,CM,N,20241028194422,7,07,LIGURIA,034,GENOVA,034,0080
070340340090,CAMPOMORONE,CM,N,20241028210210,7,07,LIGURIA,034,GENOVA,034,0090
070340340100,CARASCO,CM,N,20241028231702,7,07,LIGURIA,034,GENOVA,034,0100
070340340110,CASARZA LIGURE,CM,N,20241028202526,7,07,LIGURIA,034,GENOVA,034,0110
070340340120,CASELLA,CM,N,20241028190116,7,07,LIGURIA,034,GENOVA,034,0120
070340340130,CASTIGLIONE CHIAVARESE,CM,N,20241028180102,7,07,LIGURIA,034,GENOVA,034,0130
070340340140,CERANESI,CM,N,20241028185722,7,07,LIGURIA,034,GENOVA,034,0140
070340340150,CHIAVARI,CM,M,20241028205022,7,07,LIGURIA,034,GENOVA,034,0150
070340340160,CICAGNA,CM,N,20241028215737,7,07,LIGURIA,034,GENOVA,034,0160
070340340170,COGOLETO,CM,N,20241028220405,7,07,LIGURIA,034,GENOVA,034,0170
070340340180,COGORNO,CM,N,20241028205225,7,07,LIGURIA,034,GENOVA,034,0180
070340340190,COREGLIA LIGURE,CM,N,20241028172800,7,07,LIGURIA,034,GENOVA,034,0190
070340340200,CROCEFIESCHI,CM,N,20241028215750,7,07,LIGURIA,034,GENOVA,034,0200
070340340210,DAVAGNA,CM,N,20241028200506,7,07,LIGURIA,034,GENOVA,034,0210
070340340220,FASCIA,CM,N,20241028154905,7,07,LIGURIA,034,GENOVA,034,0220
