cod,desc,tipo,tipo_comune,dt_agg,cod_ele,cod_regione,regione,cod_provincia,provincia,cod_comune
080000000000,EMILIA-ROMAGNA,RE,,,7,08,EMILIA-ROMAGNA,000,Unknown,0000
080130000000,BOLOGNA,CR,,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0000
080130130000,BOLOGNA,PR,,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0000
080130130005,ALTO RENO TERME,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0005
080130130010,ANZOLA DELL'EMILIA,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0010
080130130020,ARGELATO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0020
080130130030,BARICELLA,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0030
080130130050,BENTIVOGLIO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0050
080130130060,BOLOGNA,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0060
080130130070,BORGO TOSSIGNANO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0070
080130130080,BUDRIO,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0080
080130130090,CALDERARA DI RENO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0090
080130130100,CAMUGNANO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0100
080130130110,CASALECCHIO DI RENO,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0110
080130130120,CASALFIUMANESE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0120
080130130130,CASTEL D'AIANO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0130
080130130140,CASTEL DEL RIO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0140
080130130150,CASTEL DI CASIO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0150
080130130160,CASTEL GUELFO DI BOLOGNA,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0160
080130130170,CASTELLO D'ARGILE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0170
080130130190,CASTEL MAGGIORE,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0190
080130130200,CASTEL SAN PIETRO TERME,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0200
080130130210,CASTENASO,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0210
080130130220,CASTIGLIONE DEI PEPOLI,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0220
080130130240,CREVALCORE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0240
080130130250,DOZZA,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0250
080130130260,FONTANELICE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0260
080130130270,GAGGIO MONTANO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0270
080130130280,GALLIERA,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0280
080130130300,GRANAROLO DELL'EMILIA,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0300
080130130310,GRIZZANA MORANDI,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0310
080130130320,IMOLA,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0320
080130130330,LIZZANO IN BELVEDERE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0330
080130130340,LOIANO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0340
080130130350,MALALBERGO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0350
080130130360,MARZABOTTO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0360
080130130370,MEDICINA,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0370
080130130380,MINERBIO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0380
080130130390,MOLINELLA,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0390
080130130400,MONGHIDORO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0400
080130130410,MONTERENZIO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0410
080130130420,MONTE SAN PIETRO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0420
080130130440,MONZUNO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0440
080130130450,MORDANO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0450
080130130460,OZZANO DELL'EMILIA,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0460
080130130470,PIANORO,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0470
080130130480,PIEVE DI CENTO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0480
080130130500,SALA BOLOGNESE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0500
080130130510,SAN BENEDETTO VAL DI SAMBRO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0510
080130130520,SAN GIORGIO DI PIANO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0520
080130130530,SAN GIOVANNI IN PERSICETO,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0530
080130130540,SAN LAZZARO DI SAVENA,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0540
080130130550,SAN PIETRO IN CASALE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0550
080130130560,SANT'AGATA BOLOGNESE,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0560
080130130570,SASSO MARCONI,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0570
080130130585,VALSAMOGGIA,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0585
080130130590,VERGATO,CM,N,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0590
080130130600,ZOLA PREDOSA,CM,M,,7,08,EMILIA-ROMAGNA,013,BOLOGNA,0600
080290000000,FERRARA,CR,,,7,08,EMILIA-ROMAGNA,029,FERRARA,0000
080290290000,FERRARA,PR,,,7,08,EMILIA-ROMAGNA,029,FERRARA,0000
080290290010,ARGENTA,CM,M,,7,08,EMILIA-ROMAGNA,029,FERRARA,0010
080290290030,BONDENO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0030
080290290040,CENTO,CM,M,,7,08,EMILIA-ROMAGNA,029,FERRARA,0040
080290290050,CODIGORO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0050
080290290060,COMACCHIO,CM,M,,7,08,EMILIA-ROMAGNA,029,FERRARA,0060
080290290070,COPPARO,CM,M,,7,08,EMILIA-ROMAGNA,029,FERRARA,0070
080290290080,FERRARA,CM,M,,7,08,EMILIA-ROMAGNA,029,FERRARA,0080
080290290085,FISCAGLIA,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0085
080290290091,GORO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0091
080290290100,JOLANDA DI SAVOIA,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0100
080290290110,LAGOSANTO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0110
080290290111,MASI TORELLO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0111
080290290130,MESOLA,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0130
080290290150,OSTELLATO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0150
080290290160,POGGIO RENATICO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0160
080290290170,PORTOMAGGIORE,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0170
080290290175,RIVA DEL PO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0175
080290290185,TERRE DEL RENO,CM,N,,7,08,EMILIA-ROMAGNA,029,FERRARA,0185
