comune,provincia,regione,url,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE_perc,LISTA ANDREA ORLANDO PRESIDENTE,LISTA ANDREA ORLANDO PRESIDENTE_perc,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA_perc,MOVIMENTO 5 STELLE 2050,MOVIMENTO 5 STELLE 2050_perc,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA_perc,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,LIGURI A TESTA ALTA ORLANDO PRESIDENTE_perc,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA_perc,ORGOGLIO LIGURIA BUCCI PRESIDENTE,ORGOGLIO LIGURIA BUCCI PRESIDENTE_perc,BUCCI PRESIDENTE VINCE LIGURIA,BUCCI PRESIDENTE VINCE LIGURIA_perc,LEGA LIGURIA BUCCI PRESIDENTE,LEGA LIGURIA BUCCI PRESIDENTE_perc,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE_perc,BUCCI LIBERTAS UDC,BUCCI LIBERTAS UDC_perc,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE_perc,UNITI PER LA COSTITUZIONE,UNITI PER LA COSTITUZIONE_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,PARTITO COMUNISTA DEI LAVORATORI,PARTITO COMUNISTA DEI LAVORATORI_perc,INDIPENDENZA! ALEMANNO PER ROSSON,INDIPENDENZA! ALEMANNO PER ROSSON_perc,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA'_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,NICOLA MORRA_total_votes,NICOLA MORRA_total_perc,FRANCESCO TOSCANO_total_votes,FRANCESCO TOSCANO_total_perc,NICOLA ROLLANDO_total_votes,NICOLA ROLLANDO_total_perc,DAVIDE FELICE_total_votes,DAVIDE FELICE_total_perc,MARCO GIUSEPPE FERRANDO_total_votes,MARCO GIUSEPPE FERRANDO_total_perc,ALESSANDRO ROSSON_total_votes,ALESSANDRO ROSSON_total_perc,MARIA ANTONIETTA CELLA_total_votes,MARIA ANTONIETTA CELLA_total_perc,,None_perc
Arenzano,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340010,1529,"28,56",677,"12,65",239,"4,46",198,"3,70",97,"1,81",87,"1,63",637,"11,90",621,"11,60",489,"9,14",361,"6,74",200,"3,74",83,"1,55",17,"0,32",35,"0,65",31,"0,58",17,"0,32",9,"0,17",14.0,"0,26",8,"0,15",4.0,"0,07",2911,"51,02",2647,"46,39",41,"0,72",37,"0,65",21,"0,37",16,"0,28",16,"0,28",14,"0,25",3,"0,05",,
Avegno,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340020,205,"20,16",40,"3,93",47,"4,62",38,"3,74",5,"0,49",21,"2,06",153,"15,04",102,"10,03",107,"10,52",111,"10,91",98,"9,64",51,"5,01",1,"0,10",7,"0,69",14,"1,38",3,"0,29",0,0,6.0,"0,59",2,"0,20",6.0,"0,59",368,"34,42",661,"61,83",8,"0,75",15,"1,40",4,"0,37",0,0,6,"0,56",2,"0,19",5,"0,47",,
Bargagli,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340030,219,"24,72",73,"8,24",36,"4,06",63,"7,11",21,"2,37",9,"1,02",147,"16,59",59,"6,66",89,"10,05",91,"10,27",32,"3,61",9,"1,02",0,0,10,"1,13",6,"0,68",10,"1,13",3,"0,34",5.0,"0,56",2,"0,23",2.0,"0,23",442,"46,92",458,"48,62",10,"1,06",6,"0,64",13,"1,38",4,"0,42",5,"0,53",2,"0,21",2,"0,21",,
Bogliasco,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340040,610,"30,32",152,"7,55",89,"4,42",48,"2,39",33,"1,64",56,"2,78",261,"12,97",173,"8,60",206,"10,24",152,"7,55",139,"6,91",27,"1,34",1,"0,05",15,"0,75",17,"0,84",12,"0,60",6,"0,30",8.0,"0,40",1,"0,05",6.0,"0,30",1035,"48,52",1029,"48,24",12,"0,56",18,"0,84",13,"0,61",6,"0,28",7,"0,33",1,"0,05",12,"0,56",,
Borzonasca,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340050,86,"15,22",27,"4,78",23,"4,07",21,"3,72",24,"4,25",2,"0,35",78,"13,81",46,"8,14",54,"9,56",89,"15,75",45,"7,96",7,"1,24",4,"0,71",3,"0,53",3,"0,53",6,"1,06",2,"0,35",1.0,"0,18",1,"0,18",43.0,"7,61",191,"32,10",334,"56,13",4,"0,67",4,"0,67",7,"1,18",2,"0,34",2,"0,34",1,"0,17",50,"8,40",,
Busalla,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340060,524,"25,30",80,"3,86",62,"2,99",57,"2,75",21,"1,01",15,"0,72",277,"13,38",151,"7,29",487,"23,52",151,"7,29",55,"2,66",57,"2,75",5,"0,24",90,"4,35",10,"0,48",4,"0,19",10,"0,48",9.0,"0,43",1,"0,05",5.0,"0,24",813,"36,56",1292,"58,09",77,"3,46",10,"0,45",6,"0,27",10,"0,45",9,"0,40",2,"0,09",5,"0,22",,
Camogli,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340070,633,"26,09",174,"7,17",118,"4,86",93,"3,83",46,"1,90",23,"0,95",480,"19,79",152,"6,27",168,"6,92",138,"5,69",237,"9,77",32,"1,32",29,"1,20",15,"0,62",32,"1,32",27,"1,11",12,"0,49",10.0,"0,41",1,"0,04",6.0,"0,25",1125,"44,29",1311,"51,61",15,"0,59",31,"1,22",23,"0,91",14,"0,55",11,"0,43",2,"0,08",8,"0,31",,
Campo Ligure,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340080,627,"49,57",35,"2,77",29,"2,29",36,"2,85",5,"0,40",10,"0,79",166,"13,12",78,"6,17",75,"5,93",110,"8,70",42,"3,32",18,"1,42",3,"0,24",1,"0,08",4,"0,32",7,"0,55",12,"0,95",5.0,"0,40",0,0,2.0,"0,16",734,"56,20",534,"40,89",2,"0,15",4,"0,31",9,"0,69",12,"0,92",6,"0,46",1,"0,08",4,"0,31",,
Campomorone,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340090,1013,"36,97",132,"4,82",103,"3,76",138,"5,04",52,"1,90",20,"0,73",290,"10,58",226,"8,25",284,"10,36",197,"7,19",110,"4,01",49,"1,79",3,"0,11",33,"1,20",18,"0,66",37,"1,35",6,"0,22",18.0,"0,66",5,"0,18",6.0,"0,22",1517,"51,93",1277,"43,72",33,"1,13",17,"0,58",37,"1,27",6,"0,21",19,"0,65",7,"0,24",8,"0,27",,
Carasco,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340100,234,"18,21",113,"8,79",34,"2,65",56,"4,36",22,"1,71",15,"1,17",207,"16,11",144,"11,21",134,"10,43",137,"10,66",101,"7,86",20,"1,56",1,"0,08",13,"1,01",7,"0,54",14,"1,09",4,"0,31",3.0,"0,23",1,"0,08",25.0,"1,95",479,"35,32",788,"58,11",14,"1,03",8,"0,59",23,"1,70",4,"0,29",4,"0,29",1,"0,07",35,"2,58",,
