comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,1240,"49,13",1204,"47,70",59,"2,34",21,"0,83",2.99
Anzola Dell'Emilia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130010,3346,"66,04",1561,"30,81",97,"1,91",63,"1,24",114.35
Argelato,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130020,2536,"63,51",1327,"33,23",75,"1,88",55,"1,38",91.11
Baricella,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130030,1277,"51,60",1115,"45,05",42,"1,70",41,"1,66",14.53
Bentivoglio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130050,1357,"60,15",806,"35,73",54,"2,39",39,"1,73",68.36
Bologna,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130060,102219,"63,63",51176,"31,85",5530,"3,44",1730,"1,08",99.74
Borgo Tossignano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130070,592,"55,64",425,"39,94",28,"2,63",19,"1,79",39.29
Budrio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130080,4144,"55,41",3061,"40,93",182,"2,43",92,"1,23",35.38
Calderara Di Reno,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130090,3798,"64,36",1893,"32,08",125,"2,12",85,"1,44",100.63
Camugnano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130100,351,"44,88",409,"52,30",10,"1,28",12,"1,53",-14.18
Casalecchio Di Reno,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130110,9514,"64,51",4708,"31,93",368,"2,50",157,"1,06",102.08
Casalfiumanese,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130120,700,"58,53",455,"38,04",22,"1,84",19,"1,59",53.85
Castel D'Aiano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130130,341,"42,79",423,"53,07",20,"2,51",13,"1,63",-19.39
Castel Del Rio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130140,248,"55,48",184,"41,16",9,"2,01",6,"1,34",34.78
Castel Di Casio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130150,660,"49,62",620,"46,62",34,"2,56",16,"1,20",6.45
Castel Guelfo Di Bologna,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130160,933,"53,74",747,"43,03",27,"1,56",29,"1,67",24.9
Castello D'Argile,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130170,1376,"56,91",970,"40,12",32,"1,32",40,"1,65",41.86
Castel Maggiore,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130190,5307,"65,93",2435,"30,25",181,"2,25",127,"1,58",117.95
Castel San Pietro Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130200,5195,"59,45",3271,"37,43",144,"1,65",129,"1,48",58.82
Castenaso,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130210,4717,"63,60",2486,"33,52",131,"1,77",83,"1,12",89.74
Castiglione Dei Pepoli,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130220,1250,"58,22",831,"38,71",28,"1,30",38,"1,77",50.42
Crevalcore,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130240,2810,"56,31",2048,"41,04",78,"1,56",54,"1,08",37.21
Dozza,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130250,1212,"51,29",1073,"45,41",39,"1,65",39,"1,65",12.95
Fontanelice,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130260,367,"48,93",348,"46,40",20,"2,67",15,"2,00",5.46
Gaggio Montano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130270,684,"39,20",1017,"58,28",21,"1,20",23,"1,32",-32.74
Galliera,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130280,1006,"55,67",741,"41,01",34,"1,88",26,"1,44",35.76
Granarolo Dell'Emilia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130300,3417,"61,86",1930,"34,94",121,"2,19",56,"1,01",77.05
Grizzana Morandi,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130310,855,"59,01",529,"36,51",37,"2,55",28,"1,93",61.63
Imola,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130320,16256,"63,61",8466,"33,13",538,"2,11",296,"1,16",92.02
Lizzano In Belvedere,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130330,406,"43,84",493,"53,24",15,"1,62",12,"1,30",-17.65
Loiano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130340,854,"50,18",770,"45,24",31,"1,82",47,"2,76",10.91
Malalbergo,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130350,1679,"54,06",1330,"42,82",54,"1,74",43,"1,38",26.24
Marzabotto,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130360,1565,"59,30",970,"36,76",73,"2,77",31,"1,17",61.34
