comune,VOTANTI_TOT,SKBIANCHE,VOTI_VALIDI,GIOVANNI TOTI_total_votes,GIOVANNI TOTI_total_perc,FERRUCCIO SANSA_total_votes,FERRUCCIO SANSA_total_perc
AIROLE,148,3,145,70,48.28,53,36.55
ALASSIO,4831,81,4750,2985,62.84,1496,31.49
ALBENGA,11013,269,10744,6839,63.65,3045,28.34
ALBISOLA SUPERIORE,4621,99,4522,2353,52.03,1741,38.5
ALBISSOLA MARINA,2989,72,2917,1514,51.9,1198,41.07
ALTARE,909,22,887,476,53.66,339,38.22
AMEGLIA,2086,37,2049,1210,59.05,666,32.5
ANDORA,3749,83,3666,2646,72.18,770,21.0
APRICALE,217,8,209,100,47.85,81,38.76
AQUILA D'ARROSCIA,123,8,115,100,86.96,10,8.7
ARCOLA,4757,102,4655,2222,47.73,1933,41.53
ARENZANO,6371,111,6260,3018,48.21,2866,45.78
ARMO,59,0,59,32,54.24,21,35.59
ARNASCO,278,10,268,166,61.94,88,32.84
AURIGO,225,9,216,173,80.09,37,17.13
AVEGNO,1280,33,1247,805,64.55,376,30.15
BADALUCCO,506,12,494,293,59.31,149,30.16
BAJARDO,147,4,143,81,56.64,49,34.27
BALESTRINO,291,7,284,202,71.13,62,21.83
BARDINETO,358,7,351,272,77.49,65,18.52
BARGAGLI,1178,26,1152,609,52.86,459,39.84
BERGEGGI,643,15,628,300,47.77,276,43.95
BEVERINO,1170,23,1147,664,57.89,385,33.57
BOGLIASCO,2265,32,2233,1177,52.71,891,39.9
BOISSANO,1309,42,1267,830,65.51,348,27.47
BOLANO,3672,118,3554,1710,48.11,1167,32.84
BONASSOLA,458,1,457,205,44.86,229,50.11
BORDIGHERA,4306,84,4222,2706,64.09,1264,29.94
BORGHETTO D'ARROSCIA,177,9,168,114,67.86,38,22.62
BORGHETTO DI VARA,493,6,487,315,64.68,147,30.18
BORGHETTO SANTO SPIRITO,1966,40,1926,1388,72.07,423,21.96
BORGIO VEREZZI,1103,22,1081,658,60.87,341,31.54
BORGOMARO,376,14,362,249,68.78,75,20.72
BORMIDA,188,7,181,112,61.88,55,30.39
BORZONASCA,778,29,749,490,65.42,220,29.37
BRUGNATO,726,9,717,477,66.53,189,26.36
BUSALLA,2675,47,2628,1575,59.93,896,34.09
CAIRO MONTENOTTE,5951,177,5774,3295,57.07,2077,35.97
CALICE AL CORNOVIGLIO,507,7,500,264,52.8,138,27.6
CALICE LIGURE,885,24,861,430,49.94,350,40.65
CALIZZANO,725,31,694,471,67.87,189,27.23
CAMOGLI,2894,50,2844,1448,50.91,1013,35.62
CAMPO LIGURE,1486,50,1436,653,45.47,701,48.82
CAMPOMORONE,3452,75,3377,1706,50.52,1427,42.26
CAMPOROSSO,2575,44,2531,1802,71.2,592,23.39
CARASCO,1662,40,1622,1036,63.87,466,28.73
CARAVONICA,126,2,124,87,70.16,25,20.16
CARCARE,2755,96,2659,1426,53.63,1063,39.98
CARRO,278,6,272,190,69.85,66,24.26
CARRODANO,294,9,285,151,52.98,113,39.65
CASANOVA LERRONE,301,14,287,169,58.89,74,25.78
CASARZA LIGURE,3445,63,3382,2073,61.3,1054,31.16
CASELLA,1802,53,1749,1066,60.95,603,34.48
CASTEL VITTORIO,131,2,129,91,70.54,27,20.93
CASTELBIANCO,155,4,151,58,38.41,31,20.53
CASTELLARO,601,13,588,386,65.65,145,24.66
CASTELNUOVO MAGRA,3966,115,3851,1839,47.75,1717,44.59
CASTELVECCHIO DI ROCCA BARBENA,82,2,80,47,58.75,27,33.75
CASTIGLIONE CHIAVARESE,728,25,703,432,61.45,238,33.85
CELLE LIGURE,2759,57,2702,1427,52.81,1070,39.6
CENGIO,1565,33,1532,938,61.23,510,33.29
CERANESI,1944,36,1908,1028,53.88,759,39.78
CERIALE,2455,48,2407,1638,68.05,614,25.51
CERIANA,445,14,431,286,66.36,112,25.99
CERVO,528,13,515,269,52.23,149,28.93
CESIO,138,1,137,77,56.2,15,10.95
CHIAVARI,13253,243,13010,7770,59.72,4364,33.54
CHIUSANICO,306,7,299,192,64.21,85,28.43
CHIUSAVECCHIA,200,6,194,134,69.07,32,16.49
CICAGNA,1084,21,1063,759,71.4,244,22.95
CIPRESSA,548,10,538,344,63.94,139,25.84
CISANO SUL NEVA,1136,22,1114,611,54.85,433,38.87
CIVEZZA,307,6,301,168,55.81,115,38.21
COGOLETO,5325,164,5161,2617,50.71,2106,40.81
COGORNO,2782,80,2702,1605,59.4,935,34.6
COREGLIA LIGURE,141,5,136,80,58.82,50,36.76
COSIO D'ARROSCIA,104,2,102,70,68.63,20,19.61
COSSERIA,588,10,578,359,62.11,182,31.49
COSTARAINERA,369,7,362,228,62.98,99,27.35
CROCEFIESCHI,355,10,345,189,54.78,134,38.84
DAVAGNA,815,15,800,418,52.25,309,38.62
DEGO,938,34,904,591,65.38,273,30.2
DEIVA MARINA,744,17,727,412,56.67,238,32.74
DIANO ARENTINO,293,6,287,185,64.46,63,21.95
DIANO CASTELLO,896,25,871,553,63.49,186,21.35
DIANO MARINA,2566,51,2515,1516,60.28,608,24.17
DIANO SAN PIETRO,487,15,472,281,59.53,136,28.81
DOLCEACQUA,931,31,900,512,56.89,317,35.22
DOLCEDO,533,9,524,311,59.35,155,29.58
ERLI,126,4,122,77,63.11,35,28.69
FASCIA,44,1,43,31,72.09,11,25.58
FAVALE DI MALVARO,251,7,244,181,74.18,51,20.9
FINALE LIGURE,5564,119,5445,3265,59.96,1782,32.73
FOLLO,2786,69,2717,1423,52.37,1034,38.06
FONTANIGORDA,140,6,134,63,47.01,65,48.51
FRAMURA,384,5,379,243,64.12,105,27.7
GARLENDA,592,14,578,414,71.63,121,20.93
GENOVA,258883,3973,254910,128529,50.42,107728,42.26
GIUSTENICE,537,16,521,323,62.0,164,31.48
GIUSVALLA,178,6,172,118,68.6,41,23.84
GORRETO,61,0,61,51,83.61,8,13.11
IMPERIA,18338,422,17916,10505,58.63,5590,31.2
ISOLA DEL CANTONE,688,27,661,420,63.54,200,30.26
ISOLABONA,298,10,288,188,65.28,83,28.82
LA SPEZIA,38884,814,38070,18390,48.31,16691,43.84
LAIGUEGLIA,844,23,821,525,63.95,207,25.21
LAVAGNA,5987,136,5851,3425,58.54,1963,33.55
LEIVI,1248,29,1219,808,66.28,333,27.32
LERICI,5811,217,5594,2919,52.18,2331,41.67
LEVANTO,3428,112,3316,1673,50.45,1409,42.49
LOANO,5117,91,5026,3543,70.49,1151,22.9
LORSICA,239,5,234,177,75.64,50,21.37
LUCINASCO,113,3,110,67,60.91,35,31.82
LUMARZO,743,10,733,473,64.53,210,28.65
LUNI,3825,148,3677,1820,49.5,1557,42.34
MAGLIOLO,474,14,460,280,60.87,135,29.35
MAISSANA,310,8,302,202,66.89,80,26.49
MALLARE,569,19,550,347,63.09,169,30.73
MASONE,1992,51,1941,866,44.62,927,47.76
MASSIMINO,58,3,55,38,69.09,12,21.82
MELE,1367,35,1332,615,46.17,623,46.77
MENDATICA,110,1,109,77,70.64,24,22.02
MEZZANEGO,658,20,638,446,69.91,150,23.51
MIGNANEGO,1760,24,1736,882,50.81,747,43.03
MILLESIMO,1755,46,1709,971,56.82,648,37.92
MIOGLIA,262,7,255,140,54.9,101,39.61
MOCONESI,1207,23,1184,823,69.51,291,24.58
MOLINI DI TRIORA,257,6,251,165,65.74,64,25.5
MONEGLIA,1426,33,1393,936,67.19,395,28.36
MONTALTO CARPASIO,221,4,217,130,59.91,71,32.72
MONTEBRUNO,97,4,93,64,68.82,20,21.51
MONTEGROSSO PIAN LATTE,85,4,81,48,59.26,24,29.63
MONTEROSSO AL MARE,654,24,630,341,54.13,237,37.62
MONTOGGIO,956,18,938,587,62.58,280,29.85
MURIALDO,433,22,411,216,52.55,180,43.8
NASINO,91,7,84,31,36.9,30,35.71
NE,1095,25,1070,665,62.15,347,32.43
NEIRONE,397,4,393,255,64.89,113,28.75
NOLI,1267,29,1238,706,57.03,443,35.78
OLIVETTA SAN MICHELE,103,1,102,68,66.67,11,10.78
ONZO,128,3,125,72,57.6,43,34.4
ORCO FEGLINO,517,14,503,278,55.27,185,36.78
ORERO,258,6,252,198,78.57,45,17.86
ORTOVERO,747,28,719,501,69.68,149,20.72
OSIGLIA,216,6,210,129,61.43,63,30.0
OSPEDALETTI,1442,22,1420,921,64.86,420,29.58
PALLARE,487,16,471,305,64.76,138,29.3
PERINALDO,490,42,448,275,61.38,133,29.69
PIANA CRIXIA,366,14,352,223,63.35,98,27.84
PIETRA LIGURE,3971,72,3899,2466,63.25,1117,28.65
PIETRABRUNA,276,20,256,172,67.19,62,24.22
PIEVE DI TECO,600,24,576,351,60.94,139,24.13
PIEVE LIGURE,1265,21,1244,645,51.85,512,41.16
PIGNA,343,6,337,226,67.06,86,25.52
PIGNONE,320,7,313,170,54.31,109,34.82
PLODIO,367,7,360,220,61.11,120,33.33
POMPEIANA,396,13,383,267,69.71,82,21.41
PONTEDASSIO,1074,21,1053,701,66.57,260,24.69
PONTINVREA,437,8,429,264,61.54,132,30.77
PORNASSIO,253,9,244,177,72.54,42,17.21
PORTOFINO,213,0,213,184,86.38,20,9.39
PORTOVENERE,1768,49,1719,906,52.71,716,41.65
PRELA',196,9,187,89,47.59,52,27.81
PROPATA,62,1,61,36,59.02,20,32.79
QUILIANO,3752,115,3637,1524,41.9,1832,50.37
RANZO,238,7,231,153,66.23,59,25.54
RAPALLO,13288,223,13065,8979,68.73,3399,26.02
RECCO,5067,99,4968,3068,61.76,1582,31.84
REZZO,154,5,149,103,69.13,34,22.82
REZZOAGLIO,371,12,359,280,77.99,68,18.94
RIALTO,263,6,257,139,54.09,94,36.58
RICCO' DEL GOLFO DI SPEZIA,1717,44,1673,940,56.19,600,35.86
RIOMAGGIORE,809,17,792,266,33.59,461,58.21
RIVA LIGURE,1297,44,1253,821,65.52,322,25.7
ROCCAVIGNALE,443,22,421,258,61.28,139,33.02
ROCCHETTA DI VARA,348,7,341,246,72.14,77,22.58
ROCCHETTA NERVINA,151,10,141,90,63.83,46,32.62
RONCO SCRIVIA,2290,73,2217,1312,59.18,766,34.55
RONDANINA,34,3,31,19,61.29,8,25.81
ROSSIGLIONE,1382,36,1346,477,35.44,792,58.84
ROVEGNO,257,6,251,160,63.75,80,31.87
SAN BARTOLOMEO AL MARE,1299,29,1270,731,57.56,336,26.46
SAN BIAGIO DELLA CIMA,562,12,550,376,68.36,138,25.09
SAN COLOMBANO CERTENOLI,1432,54,1378,950,68.94,316,22.93
SAN LORENZO AL MARE,652,13,639,390,61.03,155,24.26
SANREMO,22017,439,21578,14059,65.15,6078,28.17
SANT'OLCESE,3465,38,3427,1062,30.99,2218,64.72
SANTA MARGHERITA LIGURE,4339,85,4254,2928,68.83,1087,25.55
SANTO STEFANO AL MARE,1192,43,1149,789,68.67,267,23.24
SANTO STEFANO D'AVETO,459,6,453,362,79.91,64,14.13
SANTO STEFANO DI MAGRA,4624,105,4519,2127,47.07,1977,43.75
SARZANA,10513,231,10282,4646,45.19,4548,44.23
SASSELLO,926,37,889,465,52.31,375,42.18
SAVIGNONE,1510,40,1470,881,59.93,493,33.54
SAVONA,28015,552,27463,12630,45.99,12473,45.42
SEBORGA,144,3,141,93,65.96,32,22.7
SERRA RICCO',4044,76,3968,1889,47.61,1753,44.18
