comune,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ARENZANO,261,210,377,56,680,69,2,0,8,6,546,7,9,213,47,123,65,2,3.0,1.0
AVEGNO,44,62,25,28,90,17,0,0,2,0,20,4,41,55,64,24,0,0,3.0,2.0
BARGAGLI,27,58,12,23,94,4,1,1,0,0,29,4,1,48,7,15,19,0,1.0,0.0
BOGLIASCO,86,121,28,12,295,50,1,0,3,0,85,6,1,80,74,62,16,1,1.0,0.0
BORZONASCA,24,35,15,6,56,1,0,0,4,2,10,3,1,65,28,23,24,0,18.0,0.0
BUSALLA,408,118,35,6,263,5,0,0,1,3,36,74,8,56,17,26,10,5,0.0,0.0
CAMOGLI,48,322,35,28,286,13,11,2,21,25,116,9,11,70,181,82,29,0,2.0,0.0
CAMPO LIGURE,11,45,16,1,599,4,0,0,0,0,9,0,2,64,12,16,0,3,0.0,0.0
CAMPOMORONE,65,40,42,25,626,10,11,1,6,0,50,16,8,76,46,52,38,0,0.0,3.0
CARASCO,56,100,71,30,95,5,2,0,1,0,108,0,2,90,56,16,7,0,14.0,0.0
CASARZA LIGURE,40,75,83,21,286,47,7,0,10,25,36,12,2,86,782,31,16,0,3.0,0.0
CASELLA,67,48,14,11,175,11,0,0,0,0,16,3,3,32,16,24,8,0,0.0,0.0
CASTIGLIONE CHIAVARESE,2,10,88,5,57,1,2,0,0,2,44,0,2,21,63,5,1,0,2.0,0.0
CERANESI,24,36,26,25,331,2,4,0,0,1,32,46,4,41,13,34,17,0,0.0,0.0
CHIAVARI,1039,674,352,284,1327,76,20,3,20,43,338,34,32,1178,531,233,105,4,117.0,2.0
CICAGNA,16,50,70,47,46,5,0,0,4,4,6,0,3,119,51,14,7,0,1.0,0.0
COGOLETO,52,68,89,58,544,219,2,1,11,0,148,15,5,102,48,84,26,0,2.0,0.0
COGORNO,181,134,74,63,304,11,4,0,4,6,50,5,8,144,94,39,17,0,38.0,2.0
COREGLIA LIGURE,4,6,9,1,13,0,0,0,0,1,3,0,1,23,5,3,0,0,0.0,0.0
CROCEFIESCHI,12,8,12,11,56,2,0,0,0,0,17,1,0,4,6,1,1,0,0.0,0.0
DAVAGNA,20,13,7,6,60,6,3,2,2,0,27,0,1,53,8,7,40,0,0.0,0.0
FASCIA,2,0,0,1,3,0,0,0,0,0,4,0,0,7,1,0,1,0,0.0,0.0
FAVALE DI MALVARO,4,0,107,3,13,1,0,0,1,0,1,2,0,4,1,2,0,0,2.0,0.0
