comune,provincia,regione,url,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,UMBRIA DOMANI PROIETTI PRESIDENTE,UMBRIA DOMANI PROIETTI PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA_perc,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE_perc,UMBRIA PER LA SANITA' PUBBLICA,UMBRIA PER LA SANITA' PUBBLICA_perc,CIVICI UMBRI,CIVICI UMBRI_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,LEGA,LEGA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,NOI MODERATI - CIVICI PER L'UMBRIA,NOI MODERATI - CIVICI PER L'UMBRIA_perc,ALTERNATIVA POPOLARE,ALTERNATIVA POPOLARE_perc,UNIONE DI CENTRO,UNIONE DI CENTRO_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE_perc,INSIEME PER UN'UMBRIA RESISTENTE,INSIEME PER UN'UMBRIA RESISTENTE_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,ALTERNATIVA PER L'UMBRIA,ALTERNATIVA PER L'UMBRIA_perc,FRONTE DEL DISSENSO,FRONTE DEL DISSENSO_perc,QUINTO POLO PER L'ITALIA,QUINTO POLO PER L'ITALIA_perc,PIU' ITALIA SOVRANA,PIU' ITALIA SOVRANA_perc,TRITTO PRESIDENTE UMANI INSIEME LIBERI,TRITTO PRESIDENTE UMANI INSIEME LIBERI_perc,STEFANIA PROIETTI_total_votes,STEFANIA PROIETTI_total_perc,DONATELLA TESEI_total_votes,DONATELLA TESEI_total_perc,MARCO RIZZO_total_votes,MARCO RIZZO_total_perc,MARTINA LEONARDI_total_votes,MARTINA LEONARDI_total_perc,GIUSEPPE PAOLONE_total_votes,GIUSEPPE PAOLONE_total_perc,ELIA FRANCESCO FIORINI_total_votes,ELIA FRANCESCO FIORINI_total_perc,MORENO PASQUINELLI_total_votes,MORENO PASQUINELLI_total_perc,FABRIZIO PIGNALBERI_total_votes,FABRIZIO PIGNALBERI_total_perc,GIUSEPPE TRITTO_total_votes,GIUSEPPE TRITTO_total_perc
Assisi,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040010,2251,"21,64",1282,"12,33",543,"5,22",293,"2,82",169,"1,63",155,"1,49",55,"0,53",2009,"19,32",1576,"15,15",920,"8,85",591,"5,68",236,"2,27",60,"0,58",34,"0,33",43,"0,41",41,"0,39",43,"0,41",24,"0,23",25,"0,24",19,"0,18",11,"0,11",4,"0,04",16,"0,15",6259,"49,27",6143,"48,36",127,"1,00",54,"0,43",32,"0,25",27,"0,21",23,"0,18",21,"0,17",17,"0,13"
Bastia Umbra,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040020,1851,"26,92",485,"7,05",357,"5,19",298,"4,33",129,"1,88",138,"2,01",58,"0,84",1309,"19,03",793,"11,53",558,"8,11",515,"7,49",170,"2,47",67,"0,97",12,"0,17",37,"0,54",20,"0,29",19,"0,28",21,"0,31",8,"0,12",12,"0,17",0,0,4,"0,06",16,"0,23",4378,"51,18",4005,"46,82",74,"0,87",27,"0,32",21,"0,25",8,"0,09",14,"0,16",7,"0,08",20,"0,23"
Bettona,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040030,364,"22,68",132,"8,22",68,"4,24",53,"3,30",46,"2,87",40,"2,49",2,"0,12",346,"21,56",169,"10,53",197,"12,27",82,"5,11",61,"3,80",6,"0,37",6,"0,37",9,"0,56",12,"0,75",1,"0,06",2,"0,12",5,"0,31",2,"0,12",0,0,0,0,2,"0,12",803,"43,98",981,"53,72",26,"1,42",3,"0,16",3,"0,16",5,"0,27",2,"0,11",1,"0,05",2,"0,11"
Bevagna,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040040,441,"25,79",82,"4,80",50,"2,92",77,"4,50",67,"3,92",18,"1,05",99,"5,79",377,"22,05",79,"4,62",212,"12,40",96,"5,61",46,"2,69",19,"1,11",7,"0,41",2,"0,12",11,"0,64",11,"0,64",0,0,2,"0,12",4,"0,23",0,0,1,"0,06",9,"0,53",976,"49,92",935,"47,83",16,"0,82",12,"0,61",0,0,2,"0,10",4,"0,20",1,"0,05",9,"0,46"
Campello Sul Clitunno,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040050,267,"32,60",36,"4,40",44,"5,37",33,"4,03",13,"1,59",6,"0,73",8,"0,98",207,"25,27",41,"5,01",66,"8,06",44,"5,37",22,"2,69",7,"0,85",1,"0,12",4,"0,49",2,"0,24",4,"0,49",0,0,3,"0,37",7,"0,85",0,0,0,0,4,"0,49",450,"50,00",420,"46,67",12,"1,33",4,"0,44",0,0,3,"0,33",7,"0,78",0,0,4,"0,44"
Cannara,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040060,428,"22,78",80,"4,26",61,"3,25",176,"9,37",126,"6,71",18,"0,96",8,"0,43",189,"10,06",163,"8,67",482,"25,65",67,"3,57",26,"1,38",4,"0,21",7,"0,37",7,"0,37",16,"0,85",6,"0,32",1,"0,05",1,"0,05",7,"0,37",0,0,1,"0,05",5,"0,27",972,"48,07",998,"49,36",29,"1,43",6,"0,30",2,"0,10",1,"0,05",7,"0,35",1,"0,05",6,"0,30"
Cascia,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040070,389,"30,27",40,"3,11",18,"1,40",10,"0,78",26,"2,02",0,0,119,"9,26",427,"33,23",75,"5,84",65,"5,06",50,"3,89",24,"1,87",24,"1,87",5,"0,39",3,"0,23",4,"0,31",1,"0,08",0,0,3,"0,23",0,0,0,0,1,"0,08",1,"0,08",640,"47,06",706,"51,91",7,"0,51",1,"0,07",0,0,3,"0,22",0,0,2,"0,15",1,"0,07"
Castel Ritaldi,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040080,363,"31,24",44,"3,79",71,"6,11",19,"1,64",19,"1,64",5,"0,43",10,"0,86",249,"21,43",121,"10,41",109,"9,38",56,"4,82",32,"2,75",25,"2,15",1,"0,09",3,"0,26",4,"0,34",7,"0,60",0,0,5,"0,43",4,"0,34",0,0,2,"0,17",13,"1,12",601,"46,66",643,"49,92",10,"0,78",9,"0,70",0,0,6,"0,47",4,"0,31",2,"0,16",13,"1,01"
Castiglione Del Lago,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040090,2145,"42,66",146,"2,90",160,"3,18",195,"3,88",94,"1,87",235,"4,67",170,"3,38",798,"15,87",326,"6,48",267,"5,31",247,"4,91",115,"2,29",16,"0,32",7,"0,14",20,"0,40",17,"0,34",38,"0,76",8,"0,16",7,"0,14",6,"0,12",0,0,2,"0,04",9,"0,18",3393,"62,19",1935,"35,47",47,"0,86",45,"0,82",8,"0,15",9,"0,16",6,"0,11",2,"0,04",11,"0,20"
Cerreto Di Spoleto,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040100,119,"27,48",7,"1,62",12,"2,77",5,"1,15",11,"2,54",3,"0,69",0,0,137,"31,64",62,"14,32",34,"7,85",17,"3,93",14,"3,23",7,"1,62",2,"0,46",2,"0,46",0,0,0,0,0,0,1,"0,23",0,0,0,0,0,0,0,0,165,"36,03",288,"62,88",3,"0,66",0,0,0,0,1,"0,22",0,0,1,"0,22",0,0
