comune,provincia,regione,PAPPALARDO ANTONIO_total_votes,PAPPALARDO ANTONIO_total_perc,RICCI CLAUDIO_total_votes,RICCI CLAUDIO_total_perc,RUBICONDI ROSSANO_total_votes,RUBICONDI ROSSANO_total_perc,CARLETTI MARTINA_total_votes,CARLETTI MARTINA_total_perc,TESEI DONATELLA_total_votes,TESEI DONATELLA_total_perc,BIANCONI VINCENZO_total_votes,BIANCONI VINCENZO_total_perc,CAMUZZI EMILIANO_total_votes,CAMUZZI EMILIANO_total_perc,CIRILLO GIUSEPPE_total_votes,CIRILLO GIUSEPPE_total_perc,GILET ARANCIONI,GILET ARANCIONI_perc,RICCI PRESIDENTE,RICCI PRESIDENTE_perc,ITALIA CIVICA,ITALIA CIVICA_perc,PROPOSTA UMBRIA,PROPOSTA UMBRIA_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,RICONQUISTARE L'ITALIA,RICONQUISTARE L'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,LEGA,LEGA_perc,UMBRIA CIVICA,UMBRIA CIVICA_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,BIANCONI PER L'UMBRIA,BIANCONI PER L'UMBRIA_perc,SINISTRA CIVICA VERDE,SINISTRA CIVICA VERDE_perc,EUROPA VERDE UMBRIA,EUROPA VERDE UMBRIA_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,POTERE AL POPOLO,POTERE AL POPOLO_perc,PARTITO COMUNISTA ITALIANO,PARTITO COMUNISTA ITALIANO_perc,PARTITO DELLE BUONE MANIERE,PARTITO DELLE BUONE MANIERE_perc
AVIGLIANO UMBRO,,,3,0.21,8,0.57,8,0.57,2,0.14,830,59.16,498,35.5,5,0.36,0,0.0,3,0.21,3,0.21,3,0.21,1,0.07,8,0.57,2,0.14,250,17.82,13,0.93,473,33.71,13,0.93,68,4.85,220,15.68,131,9.34,9,0.64,11,0.78,105,7.48,1,0.07,4,0.29,0,0.0
BASCHI,,,0,0.0,11,0.77,16,1.12,3,0.21,767,53.86,581,40.8,8,0.56,2,0.14,0,0.0,1,0.07,5,0.35,2,0.14,13,0.91,2,0.14,72,5.06,19,1.33,526,36.94,20,1.4,117,8.22,373,26.19,59,4.14,2,0.14,26,1.83,90,6.32,1,0.07,6,0.42,2,0.14
CALVI DELL'UMBRIA,,,0,0.0,11,1.26,5,0.57,0,0.0,576,66.13,243,27.9,5,0.57,1,0.11,0,0.0,6,0.69,2,0.23,1,0.11,5,0.57,0,0.0,50,5.74,6,0.69,377,43.28,10,1.15,118,13.55,157,18.03,13,1.49,3,0.34,16,1.84,43,4.94,0,0.0,4,0.46,1,0.11
CASTEL GIORGIO,,,1,0.09,2,0.18,8,0.7,1,0.09,734,64.5,353,31.02,7,0.62,2,0.18,1,0.09,0,0.0,1,0.09,1,0.09,8,0.7,1,0.09,52,4.57,19,1.67,382,33.57,7,0.62,266,23.37,221,19.42,14,1.23,5,0.44,6,0.53,92,8.08,1,0.09,6,0.53,2,0.18
CASTEL VISCARDO,,,0,0.0,17,1.09,18,1.15,4,0.26,877,56.18,566,36.26,14,0.9,2,0.13,0,0.0,4,0.26,9,0.58,2,0.13,17,1.09,4,0.26,82,5.25,28,1.79,564,36.13,30,1.92,155,9.93,375,24.02,29,1.86,16,1.02,19,1.22,106,6.79,6,0.38,7,0.45,2,0.13
FABRO,,,1,0.08,11,0.84,8,0.61,5,0.38,759,58.03,471,36.01,16,1.22,2,0.15,1,0.08,4,0.31,4,0.31,0,0.0,8,0.61,5,0.38,48,3.67,16,1.22,539,41.21,6,0.46,126,9.63,333,25.46,22,1.68,15,1.15,9,0.69,63,4.82,2,0.15,14,1.07,2,0.15
FERENTILLO,,,0,0.0,8,0.79,4,0.4,3,0.3,654,64.88,299,29.66,12,1.19,1,0.1,0,0.0,4,0.4,3,0.3,1,0.1,4,0.4,3,0.3,23,2.28,201,19.94,346,34.33,8,0.79,64,6.35,133,13.19,49,4.86,5,0.5,3,0.3,95,9.42,6,0.6,5,0.5,1,0.1
FICULLE,,,1,0.13,13,1.65,10,1.27,6,0.76,390,49.43,326,41.32,18,2.28,1,0.13,1,0.13,7,0.89,2,0.25,3,0.38,10,1.27,6,0.76,19,2.41,8,1.01,273,34.6,7,0.89,59,7.48,197,24.97,18,2.28,13,1.65,11,1.39,51,6.46,4,0.51,12,1.52,1,0.13
GIOVE,,,1,0.1,23,2.24,4,0.39,0,0.0,643,62.73,312,30.44,15,1.46,3,0.29,1,0.1,15,1.46,4,0.39,1,0.1,4,0.39,0,0.0,38,3.71,3,0.29,496,48.39,12,1.17,85,8.29,194,18.93,11,1.07,6,0.59,9,0.88,64,6.24,2,0.2,12,1.17,3,0.29
GUARDEA,,,1,0.09,10,0.92,5,0.46,1,0.09,785,72.08,240,22.04,11,1.01,0,0.0,1,0.09,2,0.18,3,0.28,1,0.09,5,0.46,1,0.09,54,4.96,80,7.35,429,39.39,25,2.3,179,16.44,140,12.86,12,1.1,9,0.83,13,1.19,49,4.5,6,0.55,3,0.28,0,0.0
