ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,43.06,68.0,2599,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-36.68
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,53.56,74.64,5178,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-28.24
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,53.0,75.31,4080,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-29.62
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,47.39,69.74,2538,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,-32.05
Regionali Speciali,Bentivoglio,Bologna,Emilia-Romagna,2238,2235,4473,51.51,73.35,2304,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130050,-29.78
Regionali Speciali,Bologna,Bologna,Emilia-Romagna,162396,147381,309777,52.97,69.75,164104,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130060,-24.06
Regionali Speciali,Borgo Tossignano,Bologna,Emilia-Romagna,1264,1276,2540,43.46,67.13,1104,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130070,-35.26
Regionali Speciali,Budrio,Bologna,Emilia-Romagna,7701,7432,15133,50.8,70.29,7687,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130080,-27.73
Regionali Speciali,Calderara Di Reno,Bologna,Emilia-Romagna,5563,5334,10897,55.18,74.73,6013,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130090,-26.16
Regionali Speciali,Camugnano,Bologna,Emilia-Romagna,859,927,1786,44.96,66.16,803,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130100,-32.04
