ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Arenzano,Genova,Liguria,5395,4922,10317,56.54,62.39,5833,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340010,-9.38
Regionali Speciali,Avegno,Genova,Liguria,1114,1130,2244,48.44,59.07,1087,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340020,-18.0
Regionali Speciali,Bargagli,Genova,Liguria,1119,1164,2283,42.71,51.99,975,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340030,-17.85
Regionali Speciali,Bogliasco,Genova,Liguria,2281,2123,4404,49.5,51.59,2180,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340040,-4.05
Regionali Speciali,Borzonasca,Genova,Liguria,869,932,1801,34.93,45.52,629,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340050,-23.26
Regionali Speciali,Busalla,Genova,Liguria,2311,2181,4492,51.76,58.37,2325,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340060,-11.32
Regionali Speciali,Camogli,Genova,Liguria,2910,2870,5780,44.79,50.42,2589,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340070,-11.17
Regionali Speciali,Campo Ligure,Genova,Liguria,1209,1190,2399,56.36,60.65,1352,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340080,-7.07
Regionali Speciali,Campomorone,Genova,Liguria,3071,2901,5972,50.7,57.54,3028,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340090,-11.89
Regionali Speciali,Carasco,Genova,Liguria,1664,1651,3315,43.05,52.48,1427,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340100,-17.97
Regionali Speciali,Casarza Ligure,Genova,Liguria,2958,2869,5827,50.3,59.8,2931,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340110,-15.89
Regionali Speciali,Casella,Genova,Liguria,1372,1378,2750,46.91,65.15,1290,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340120,-28.0
Regionali Speciali,Castiglione Chiavarese,Genova,Liguria,907,875,1782,37.6,42.8,670,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340130,-12.15
Regionali Speciali,Ceranesi,Genova,Liguria,1594,1630,3224,52.48,59.27,1692,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340140,-11.46
Regionali Speciali,Chiavari,Genova,Liguria,14128,12198,26326,45.43,51.44,11961,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340150,-11.68
Regionali Speciali,Cicagna,Genova,Liguria,979,1030,2009,45.35,54.2,911,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340160,-16.33
Regionali Speciali,Cogoleto,Genova,Liguria,3908,3585,7493,54.34,68.91,4072,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340170,-21.14
Regionali Speciali,Cogorno,Genova,Liguria,2979,2845,5824,43.36,49.33,2525,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070340180,-12.1
