ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Assisi,Terni,Umbria,11808,11172,22980,57.11,64.54,11118,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580010,-7.43
Regionali Speciali,Bastia Umbra,Terni,Umbria,8780,8253,17033,50.94,64.15,7081,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580020,-13.21
Regionali Speciali,Bettona,Terni,Umbria,1756,1689,3445,54.31,66.62,1871,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580030,-12.31
Regionali Speciali,Bevagna,Terni,Umbria,2082,2157,4239,47.28,61.34,2004,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580040,-14.06
Regionali Speciali,Campello Sul Clitunno,Terni,Umbria,983,992,1975,47.65,62.24,941,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580050,-14.59
Regionali Speciali,Cannara,Terni,Umbria,1754,1721,3475,59.94,64.06,2083,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580060,-4.12
Regionali Speciali,Cascia,Terni,Umbria,1245,1256,2501,56.86,71.27,1422,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580070,-14.41
Regionali Speciali,Castel Ritaldi,Terni,Umbria,1258,1234,2492,53.73,66.77,1339,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580080,-13.04
Regionali Speciali,Castiglione Del Lago,Terni,Umbria,6169,5848,12017,46.34,61.03,5569,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580090,-14.69
Regionali Speciali,Cerreto Di Spoleto,Terni,Umbria,421,401,822,57.91,68.64,476,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580100,-10.73
Regionali Speciali,Citerna,Terni,Umbria,1450,1405,2855,48.83,63.59,1394,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580110,-14.76
Regionali Speciali,Città Della Pieve,Terni,Umbria,3229,2954,6183,48.07,62.95,2289,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580120,-14.88
Regionali Speciali,Città Di Castello,Terni,Umbria,16414,15405,31819,52.4,66.88,15725,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580130,-14.48
Regionali Speciali,Collazzone,Terni,Umbria,1301,1286,2587,56.44,67.94,1460,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580140,-11.5
Regionali Speciali,Corciano,Terni,Umbria,8790,8271,17061,54.9,67.67,9367,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580150,-12.77
