comune,CSX_votes_2020,CSX_perc_2020,CDX_votes_2020,CDX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Saludecio,523,36.47,759,52.93,Rimini,Emilia-Romagna,330,42.69,418,54.08,16.46,11.39,5.07,43.8726846,12.6685074
San Clemente,1011,39.32,1304,50.72,Rimini,Emilia-Romagna,757,53.2,620,43.57,11.399999999999999,-9.630000000000003,21.03,43.9322054,12.6256931
San Giovanni In Marignano,2337,46.78,2199,44.02,Rimini,Emilia-Romagna,1741,57.25,1184,38.93,-2.759999999999998,-18.32,15.560000000000002,43.9386683,12.7124941
San Leo,681,40.88,865,51.92,Rimini,Emilia-Romagna,463,44.73,531,51.3,11.04,6.57,4.469999999999999,43.896961,12.343644
Sant'Agata Feltria,497,41.87,604,50.88,Rimini,Emilia-Romagna,363,52.53,313,45.3,9.010000000000005,-7.230000000000004,16.24000000000001,43.8643024,12.2079994
Santarcangelo Di Romagna,6223,49.36,5432,43.09,Rimini,Emilia-Romagna,5130,61.83,2916,35.15,-6.269999999999996,-26.68,20.410000000000004,44.0634029,12.4467143
Talamello,291,45.54,307,48.04,Rimini,Emilia-Romagna,185,48.56,184,48.29,2.5,-0.2700000000000031,2.770000000000003,43.9049899,12.2858982
Verucchio,2464,44.41,2554,46.03,Rimini,Emilia-Romagna,1662,50.09,1507,45.42,1.6200000000000045,-4.670000000000002,6.290000000000006,43.983611,12.4211632
Brisighella,1897,44.98,2049,48.59,Ravenna,Emilia-Romagna,1524,51.94,1331,45.36,3.6100000000000065,-6.579999999999998,10.190000000000005,44.2221401,11.7722262
Casola Valsenio,780,51.86,641,42.62,Ravenna,Emilia-Romagna,594,57.23,420,40.46,-9.240000000000002,-16.769999999999996,7.529999999999994,44.2231871,11.6231101
Castel Bolognese,2493,48.25,2287,44.26,Ravenna,Emilia-Romagna,1956,53.21,1637,44.53,-3.990000000000002,-8.68,4.689999999999998,44.3204868,11.7992579
Cervia,7449,47.74,7036,45.09,Ravenna,Emilia-Romagna,6361,57.97,4299,39.18,-2.6499999999999986,-18.79,16.14,44.2609836,12.3495462
Conselice,2550,53.57,1826,38.36,Ravenna,Emilia-Romagna,1950,60.63,1115,34.67,-15.21,-25.96,10.75,44.5127578,11.8291743
Cotignola,2232,51.56,1795,41.46,Ravenna,Emilia-Romagna,1759,59.03,1154,38.72,-10.100000000000001,-20.310000000000002,10.21,44.3846325,11.9423791
Faenza,17668,54.62,12548,38.79,Ravenna,Emilia-Romagna,14434,60.6,8719,36.6,-15.829999999999998,-24.0,8.170000000000002,44.2855555,11.8832055
Fusignano,2446,56.04,1635,37.46,Ravenna,Emilia-Romagna,1840,62.39,1004,34.05,-18.58,-28.340000000000003,9.760000000000005,44.467572,11.960214
Lugo,9083,50.63,7789,43.41,Ravenna,Emilia-Romagna,6806,53.83,5470,43.26,-7.220000000000006,-10.57,3.3499999999999943,44.4202951,11.911365
Massa Lombarda,2848,56.67,1779,35.4,Ravenna,Emilia-Romagna,2044,63.18,1069,33.04,-21.270000000000003,-30.14,8.869999999999997,44.447386,11.8260915
Ravenna,43912,51.37,35309,41.31,Ravenna,Emilia-Romagna,34962,58.22,22666,37.75,-10.059999999999995,-20.47,10.410000000000004,44.4161414,12.2017617
Riolo Terme,1545,49.11,1367,43.45,Ravenna,Emilia-Romagna,1243,54.71,967,42.56,-5.659999999999997,-12.149999999999999,6.490000000000002,44.2770835,11.72452
Russi,3239,47.51,3018,44.27,Ravenna,Emilia-Romagna,2600,54.75,2002,42.16,-3.239999999999995,-12.590000000000003,9.350000000000009,44.370054,12.0304172
