comune,CDX_votes_2020,CDX_perc_2020,CSX_votes_2020,CSX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Airole,70,48.28,53,36.55,Imperia,Liguria,72,49.32,67,45.89,11.730000000000004,-3.4299999999999997,-15.160000000000004,43.871038,7.5541812
Alassio,2985,62.84,1496,31.49,Savona,Liguria,1554,40.82,2141,56.24,31.350000000000005,15.420000000000002,-15.930000000000003,44.0080109,8.1730265
Albenga,6839,63.65,3045,28.34,Savona,Liguria,3891,44.7,4544,52.21,35.31,7.509999999999998,-27.800000000000004,44.0492503,8.2131239
Albisola Superiore,2353,52.03,1741,38.5,Savona,Liguria,2053,49.43,1922,46.28,13.530000000000001,-3.1499999999999986,-16.68,44.339838,8.509353
Albissola Marina,1514,51.9,1198,41.07,Savona,Liguria,1245,50.69,1123,45.72,10.829999999999998,-4.969999999999999,-15.799999999999997,44.3272723,8.5031895
Altare,476,53.66,339,38.22,Savona,Liguria,256,44.76,288,50.35,15.439999999999998,5.590000000000003,-9.849999999999994,44.3359819,8.3399306
Ameglia,1210,59.05,666,32.5,La Spezia,Liguria,780,45.11,900,52.05,26.549999999999997,6.939999999999998,-19.61,44.0659288,9.9574096
Andora,2646,72.18,770,21.0,Savona,Liguria,839,31.41,1709,63.98,51.18000000000001,32.56999999999999,-18.610000000000014,43.9519286,8.1456487
Apricale,100,47.85,81,38.76,Imperia,Liguria,63,47.37,61,45.86,9.090000000000003,-1.509999999999998,-10.600000000000001,43.8803889,7.6602096
Aquila D'Arroscia,100,86.96,10,8.7,Imperia,Liguria,4,4.6,82,94.25,78.25999999999999,89.65,11.390000000000015,44.085927,8.005247
Arcola,2222,47.73,1933,41.53,La Spezia,Liguria,1980,52.51,1633,43.3,6.199999999999996,-9.21,-15.409999999999997,44.1143821,9.9059673
Arenzano,3018,48.21,2866,45.78,Genova,Liguria,2911,51.02,2647,46.39,2.4299999999999997,-4.630000000000003,-7.060000000000002,44.4025183,8.6831317
Armo,32,54.24,21,35.59,Imperia,Liguria,10,20.0,38,76.0,18.65,56.0,37.35,44.0879649,7.9147826
Arnasco,166,61.94,88,32.84,Savona,Liguria,91,41.74,120,55.05,29.099999999999994,13.309999999999995,-15.79,44.078228,8.107449
Aurigo,173,80.09,37,17.13,Imperia,Liguria,47,30.13,104,66.67,62.96000000000001,36.540000000000006,-26.42,43.9826457,7.9221224
Avegno,805,64.55,376,30.15,Genova,Liguria,368,34.42,661,61.83,34.4,27.409999999999997,-6.990000000000002,44.3913363,9.1563156
Badalucco,293,59.31,149,30.16,Imperia,Liguria,161,43.63,191,51.76,29.150000000000002,8.129999999999995,-21.020000000000007,43.9155573,7.8472946
Bajardo,81,56.64,49,34.27,Imperia,Liguria,30,27.78,66,61.11,22.369999999999997,33.33,10.96,43.9031088,7.7167756
Balestrino,202,71.13,62,21.83,Savona,Liguria,66,29.6,149,66.82,49.3,37.21999999999999,-12.080000000000005,44.12513,8.1715202
Bardineto,272,77.49,65,18.52,Savona,Liguria,76,27.94,181,66.54,58.97,38.60000000000001,-20.36999999999999,44.1931231,8.1324517
Bargagli,609,52.86,459,39.84,Genova,Liguria,442,46.92,458,48.62,13.019999999999996,1.6999999999999957,-11.32,44.4478019,9.087661
Bergeggi,300,47.77,276,43.95,Savona,Liguria,282,55.4,206,40.47,3.8200000000000003,-14.93,-18.75,44.249735,8.443353
Beverino,664,57.89,385,33.57,La Spezia,Liguria,416,39.39,610,57.77,24.32,18.380000000000003,-5.939999999999998,44.2059509,9.7857299
