comune,CSX_votes_2019,CSX_perc_2019,CDX_votes_2019,CDX_perc_2019,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2019,margin_2024,margin_shift,latitude,longitude
Avigliano Umbro,498,35.5,830,59.16,Terni,Umbria,551,48.46,560,49.25,23.659999999999997,0.7899999999999991,-22.869999999999997,42.654834,12.426165
Baschi,581,40.8,767,53.86,Terni,Umbria,604,53.36,503,44.43,13.060000000000002,-8.93,-21.990000000000002,42.6702835,12.2161353
Calvi Dell'Umbria,243,27.9,576,66.13,Terni,Umbria,221,37.08,363,60.91,38.23,23.83,-14.399999999999999,42.4031242,12.567432
Castel Giorgio,353,31.02,734,64.5,Terni,Umbria,386,43.13,490,54.75,33.480000000000004,11.619999999999997,-21.860000000000007,42.7078943,11.9793909
Castel Viscardo,566,36.26,877,56.18,Terni,Umbria,574,47.32,623,51.36,19.92,4.039999999999999,-15.880000000000003,42.7546738,12.0013028
Fabro,471,36.01,759,58.03,Terni,Umbria,477,48.33,459,46.5,22.020000000000003,-1.8299999999999983,-23.85,42.8634804,12.0128824
Ferentillo,299,29.66,654,64.88,Terni,Umbria,267,35.46,459,60.96,35.22,25.5,-9.719999999999999,42.6207678,12.7887263
Ficulle,326,41.32,390,49.43,Terni,Umbria,289,50.0,263,45.5,8.11,-4.5,-12.61,42.8362745,12.0656093
Giove,312,30.44,643,62.73,Terni,Umbria,319,37.49,438,51.47,32.28999999999999,13.979999999999997,-18.309999999999995,42.50941,12.3247903
Guardea,240,22.04,785,72.08,Terni,Umbria,307,39.82,420,54.47,50.04,14.649999999999999,-35.39,42.6233823,12.2976643
Lugnano In Teverina,280,33.45,481,57.47,Terni,Umbria,244,35.78,418,61.29,24.019999999999996,25.509999999999998,1.490000000000002,42.5742259,12.3307848
Montecastrilli,877,31.25,1803,64.26,Terni,Umbria,897,38.88,1358,58.86,33.010000000000005,19.979999999999997,-13.030000000000008,42.652434,12.488567
Montecchio,285,31.42,564,62.18,Terni,Umbria,271,43.36,338,54.08,30.759999999999998,10.719999999999999,-20.04,42.663533,12.286862
Montefranco,204,28.73,461,64.93,Terni,Umbria,163,31.65,338,65.63,36.2,33.98,-2.220000000000006,42.5977353,12.7652595
Montegabbione,240,40.68,293,49.66,Terni,Umbria,217,53.85,151,37.47,8.979999999999997,-16.380000000000003,-25.36,42.9210065,12.0923641
Monteleone D'Orvieto,287,37.57,429,56.15,Terni,Umbria,274,50.09,256,46.8,18.58,-3.2900000000000063,-21.870000000000005,42.9184935,12.0511448
Narni,4052,38.97,5764,55.43,Terni,Umbria,4336,55.78,3231,41.57,16.46,-14.21,-30.67,42.5195891,12.5152257
Orvieto,4074,39.06,5785,55.47,Terni,Umbria,4229,53.07,3552,44.58,16.409999999999997,-8.490000000000002,-24.9,42.7186152,12.1087907
Otricoli,236,23.81,615,62.06,Terni,Umbria,255,33.82,487,64.59,38.25,30.770000000000003,-7.479999999999997,42.4230234,12.4776861
