comune,provincia,regione,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,left_right_index
Alto Reno Terme,Bologna,Emilia-Romagna,1240,"49,13",1204,"47,70",-0.014729950900163666
Anzola Dell'Emilia,Bologna,Emilia-Romagna,3346,"66,04",1561,"30,81",-0.3637660485021398
Argelato,Bologna,Emilia-Romagna,2536,"63,51",1327,"33,23",-0.31296919492622316
Baricella,Bologna,Emilia-Romagna,1277,"51,60",1115,"45,05",-0.0677257525083612
Bentivoglio,Bologna,Emilia-Romagna,1357,"60,15",806,"35,73",-0.2547387887193712
Bologna,Bologna,Emilia-Romagna,102589,"63,55",51567,"31,94",-0.33097641350320456
Borgo Tossignano,Bologna,Emilia-Romagna,592,"55,64",425,"39,94",-0.16420845624385447
Budrio,Bologna,Emilia-Romagna,4144,"55,41",3061,"40,93",-0.1503122831367106
Calderara Di Reno,Bologna,Emilia-Romagna,3798,"64,36",1893,"32,08",-0.33473906167633105
Camugnano,Bologna,Emilia-Romagna,351,"44,88",409,"52,30",0.07631578947368421
Casalecchio Di Reno,Bologna,Emilia-Romagna,9514,"64,51",4708,"31,93",-0.3379271551117986
Casalfiumanese,Bologna,Emilia-Romagna,700,"58,53",455,"38,04",-0.21212121212121213
Castel D'Aiano,Bologna,Emilia-Romagna,341,"42,79",423,"53,07",0.10732984293193717
Castel Del Rio,Bologna,Emilia-Romagna,248,"55,48",184,"41,16",-0.14814814814814814
Castel Di Casio,Bologna,Emilia-Romagna,660,"49,62",620,"46,62",-0.03125
Castel Guelfo Di Bologna,Bologna,Emilia-Romagna,933,"53,74",747,"43,03",-0.11071428571428571
Castello D'Argile,Bologna,Emilia-Romagna,1376,"56,91",970,"40,12",-0.17306052855924978
Castel Maggiore,Bologna,Emilia-Romagna,5307,"65,93",2435,"30,25",-0.37096357530353913
Castel San Pietro Terme,Bologna,Emilia-Romagna,5195,"59,45",3271,"37,43",-0.2272619891330026
Castenaso,Bologna,Emilia-Romagna,4717,"63,60",2486,"33,52",-0.30973205608774124
Castiglione Dei Pepoli,Bologna,Emilia-Romagna,1250,"58,22",831,"38,71",-0.20134550696780393
Crevalcore,Bologna,Emilia-Romagna,2810,"56,31",2048,"41,04",-0.1568546727048168
Dozza,Bologna,Emilia-Romagna,1212,"51,29",1073,"45,41",-0.060831509846827135
Fontanelice,Bologna,Emilia-Romagna,367,"48,93",348,"46,40",-0.026573426573426574
Gaggio Montano,Bologna,Emilia-Romagna,684,"39,20",1017,"58,28",0.19576719576719576
Galliera,Bologna,Emilia-Romagna,1006,"55,67",741,"41,01",-0.15168860904407555
Granarolo Dell'Emilia,Bologna,Emilia-Romagna,3417,"61,86",1930,"34,94",-0.27809986908546847
Grizzana Morandi,Bologna,Emilia-Romagna,855,"59,01",529,"36,51",-0.23554913294797689
Imola,Bologna,Emilia-Romagna,17092,"63,45",8974,"33,32",-0.31144019028619657
Lizzano In Belvedere,Bologna,Emilia-Romagna,406,"43,84",493,"53,24",0.0967741935483871
Loiano,Bologna,Emilia-Romagna,854,"50,18",770,"45,24",-0.05172413793103448
Malalbergo,Bologna,Emilia-Romagna,1679,"54,06",1330,"42,82",-0.11598537720172815
Marzabotto,Bologna,Emilia-Romagna,1565,"59,30",970,"36,76",-0.23471400394477318
Medicina,Bologna,Emilia-Romagna,3896,"59,58",2410,"36,86",-0.2356485886457342
Minerbio,Bologna,Emilia-Romagna,1890,"56,71",1342,"40,26",-0.16955445544554457
Molinella,Bologna,Emilia-Romagna,2434,"42,14",3182,"55,09",0.13319088319088318
Monghidoro,Bologna,Emilia-Romagna,623,"43,02",778,"53,73",0.11063526052819414
Monterenzio,Bologna,Emilia-Romagna,1125,"52,45",912,"42,52",-0.10456553755522828
Monte San Pietro,Bologna,Emilia-Romagna,2909,"59,73",1818,"37,33",-0.23080177702559762
Monzuno,Bologna,Emilia-Romagna,1171,"50,91",1060,"46,09",-0.04975347377857463
Mordano,Bologna,Emilia-Romagna,1073,"58,83",696,"38,16",-0.21311475409836064
Ozzano Dell'Emilia,Bologna,Emilia-Romagna,3692,"61,81",2056,"34,42",-0.28462073764787754
Pianoro,Bologna,Emilia-Romagna,4336,"58,64",2805,"37,94",-0.21439574289315222
Pieve Di Cento,Bologna,Emilia-Romagna,1696,"56,29",1230,"40,82",-0.15926179084073822
Sala Bolognese,Bologna,Emilia-Romagna,2081,"59,09",1329,"37,73",-0.22052785923753665
San Benedetto Val Di Sambro,Bologna,Emilia-Romagna,822,"49,91",782,"47,48",-0.02493765586034913
San Giorgio Di Piano,Bologna,Emilia-Romagna,2385,"65,06",1168,"31,86",-0.342527441598649
San Giovanni In Persiceto,Bologna,Emilia-Romagna,6731,"56,09",4912,"40,93",-0.1562312118869707
San Lazzaro Di Savena,Bologna,Emilia-Romagna,9284,"61,77",5336,"35,50",-0.27004103967168264
San Pietro In Casale,Bologna,Emilia-Romagna,2534,"57,21",1701,"38,41",-0.19669421487603306
Sant'Agata Bolognese,Bologna,Emilia-Romagna,1423,"52,16",1245,"45,64",-0.06671664167916042
Sasso Marconi,Bologna,Emilia-Romagna,3927,"59,79",2426,"36,94",-0.23626633086730678
Valsamoggia,Bologna,Emilia-Romagna,7321,"60,92",4239,"35,28",-0.26660899653979236
Vergato,Bologna,Emilia-Romagna,1258,"51,20",1132,"46,07",-0.052719665271966525
Zola Predosa,Bologna,Emilia-Romagna,5359,"62,79",2895,"33,92",-0.29852192876181244
Argenta,Ferrara,Emilia-Romagna,4050,"54,27",3245,"43,48",-0.11034955448937629
Bondeno,Ferrara,Emilia-Romagna,2096,"45,19",2451,"52,85",0.07807345502529141
Cento,Ferrara,Emilia-Romagna,5319,"42,46",6879,"54,91",0.1278898180029513
Codigoro,Ferrara,Emilia-Romagna,1353,"39,71",1911,"56,09",0.17095588235294118
Comacchio,Ferrara,Emilia-Romagna,2312,"40,67",3203,"56,34",0.16155938349954668
Copparo,Ferrara,Emilia-Romagna,2785,"48,39",2776,"48,24",-0.0016184139543247618
Ferrara,Ferrara,Emilia-Romagna,26816,"54,17",21160,"42,74",-0.11789227947306986
Fiscaglia,Ferrara,Emilia-Romagna,1345,"51,06",1179,"44,76",-0.06576862123613313
Goro,Ferrara,Emilia-Romagna,264,"19,35",1088,"79,77",0.6094674556213018
Jolanda Di Savoia,Ferrara,Emilia-Romagna,380,"48,53",362,"46,23",-0.02425876010781671
Lagosanto,Ferrara,Emilia-Romagna,553,"40,93",754,"55,81",0.15378729915837797
Masi Torello,Ferrara,Emilia-Romagna,306,"34,30",556,"62,33",0.2900232018561485
Mesola,Ferrara,Emilia-Romagna,796,"37,23",1303,"60,94",0.24154359218675558
Ostellato,Ferrara,Emilia-Romagna,868,"47,88",848,"46,77",-0.011655011655011656
Poggio Renatico,Ferrara,Emilia-Romagna,1666,"51,04",1516,"46,45",-0.04714016341923319
Portomaggiore,Ferrara,Emilia-Romagna,1743,"45,86",1962,"51,62",0.05910931174089069
Riva Del Po,Ferrara,Emilia-Romagna,908,"42,61",1166,"54,72",0.12439729990356799
Terre Del Reno,Ferrara,Emilia-Romagna,1455,"41,52",1949,"55,62",0.14512338425381904
Tresignana,Ferrara,Emilia-Romagna,1170,"50,11",1093,"46,81",-0.034025629695095004
Vigarano Mainarda,Ferrara,Emilia-Romagna,1346,"48,28",1341,"48,10",-0.0018608113137327876
Voghiera,Ferrara,Emilia-Romagna,616,"42,22",791,"54,22",0.12437810945273632
Bagno Di Romagna,Forli'-Cesena,Emilia-Romagna,1260,"55,73",957,"42,33",-0.13667117726657646
Bertinoro,Forli'-Cesena,Emilia-Romagna,2389,"61,49",1360,"35,01",-0.2744731928514271
Borghi,Forli'-Cesena,Emilia-Romagna,347,"42,47",447,"54,71",0.12594458438287154
Castrocaro Terme E Terra Del Sole,Forli'-Cesena,Emilia-Romagna,1188,"53,18",991,"44,36",-0.09040844424047728
Cesena,Forli'-Cesena,Emilia-Romagna,23422,"63,31",12630,"34,14",-0.2993453899922334
Cesenatico,Forli'-Cesena,Emilia-Romagna,4840,"51,44",4326,"45,98",-0.05607680558586079
Civitella Di Romagna,Forli'-Cesena,Emilia-Romagna,680,"50,86",630,"47,12",-0.03816793893129771
Dovadola,Forli'-Cesena,Emilia-Romagna,230,"51,80",204,"45,95",-0.059907834101382486
Forlì,Forli'-Cesena,Emilia-Romagna,24799,"58,91",16271,"38,65",-0.207645483321159
Forlimpopoli,Forli'-Cesena,Emilia-Romagna,2926,"62,49",1610,"34,39",-0.29012345679012347
Galeata,Forli'-Cesena,Emilia-Romagna,459,"54,06",364,"42,87",-0.11543134872417983
Gambettola,Forli'-Cesena,Emilia-Romagna,1991,"57,18",1379,"39,60",-0.18160237388724035
Gatteo,Forli'-Cesena,Emilia-Romagna,1473,"52,01",1258,"44,42",-0.07872574148663493
Longiano,Forli'-Cesena,Emilia-Romagna,1460,"58,82",920,"37,07",-0.226890756302521
Meldola,Forli'-Cesena,Emilia-Romagna,1710,"54,55",1333,"42,52",-0.1238908971409793
Mercato Saraceno,Forli'-Cesena,Emilia-Romagna,1224,"52,15",1084,"46,19",-0.060658578856152515
Modigliana,Forli'-Cesena,Emilia-Romagna,754,"48,06",770,"49,08",0.010498687664041995
Montiano,Forli'-Cesena,Emilia-Romagna,398,"58,02",267,"38,92",-0.19699248120300752
Portico E San Benedetto,Forli'-Cesena,Emilia-Romagna,131,"49,62",129,"48,86",-0.007692307692307693
Predappio,Forli'-Cesena,Emilia-Romagna,1037,"47,94",1077,"49,79",0.01892147587511826
Premilcuore,Forli'-Cesena,Emilia-Romagna,141,"47,47",151,"50,84",0.03424657534246575
Rocca San Casciano,Forli'-Cesena,Emilia-Romagna,368,"44,77",441,"53,65",0.09023485784919653
Roncofreddo,Forli'-Cesena,Emilia-Romagna,749,"57,22",500,"38,20",-0.19935948759007205
San Mauro Pascoli,Forli'-Cesena,Emilia-Romagna,2118,"57,48",1484,"40,27",-0.17601332593003888
Santa Sofia,Forli'-Cesena,Emilia-Romagna,1317,"69,13",562,"29,50",-0.4018094731240021
Sarsina,Forli'-Cesena,Emilia-Romagna,551,"41,49",753,"56,70",0.1549079754601227
Savignano Sul Rubicone,Forli'-Cesena,Emilia-Romagna,3068,"56,35",2217,"40,72",-0.16102175969725638
Sogliano Al Rubicone,Forli'-Cesena,Emilia-Romagna,513,"46,34",554,"50,05",0.038425492033739454
Tredozio,Forli'-Cesena,Emilia-Romagna,182,"45,61",212,"53,13",0.07614213197969544
Verghereto,Forli'-Cesena,Emilia-Romagna,260,"39,51",389,"59,12",0.1987673343605547
Bastiglia,Modena,Emilia-Romagna,880,"61,50",513,"35,85",-0.26346015793251976
Bomporto,Modena,Emilia-Romagna,1910,"55,86",1414,"41,36",-0.14921780986762936
Campogalliano,Modena,Emilia-Romagna,2083,"65,15",1015,"31,75",-0.3447385409941898
Camposanto,Modena,Emilia-Romagna,524,"45,13",605,"52,11",0.07174490699734277
Carpi,Modena,Emilia-Romagna,16855,"63,82",8837,"33,46",-0.31208158181535106
Castelfranco Emilia,Modena,Emilia-Romagna,7281,"63,09",3936,"34,10",-0.29820807702594276
Castelnuovo Rangone,Modena,Emilia-Romagna,3534,"59,65",2224,"37,54",-0.22750955192775268
Castelvetro Di Modena,Modena,Emilia-Romagna,2321,"58,55",1541,"38,87",-0.20196789228379078
Cavezzo,Modena,Emilia-Romagna,1300,"49,54",1247,"47,52",-0.020808794660384766
Concordia Sulla Secchia,Modena,Emilia-Romagna,1580,"56,23",1160,"41,28",-0.15328467153284672
Fanano,Modena,Emilia-Romagna,634,"51,76",573,"46,78",-0.050538525269262634
Finale Emilia,Modena,Emilia-Romagna,2187,"42,90",2716,"53,28",0.10789312665714869
Fiorano Modenese,Modena,Emilia-Romagna,3165,"57,84",2189,"40,00",-0.18229361225252147
Fiumalbo,Modena,Emilia-Romagna,112,"22,95",368,"75,41",0.5333333333333333
Formigine,Modena,Emilia-Romagna,8965,"63,97",4770,"34,04",-0.3054240990171096
Frassinoro,Modena,Emilia-Romagna,310,"42,70",394,"54,27",0.11931818181818182
Guiglia,Modena,Emilia-Romagna,696,"48,10",705,"48,72",0.006423982869379015
Lama Mocogno,Modena,Emilia-Romagna,452,"42,72",581,"54,91",0.12487899322362052
Maranello,Modena,Emilia-Romagna,3245,"55,18",2483,"42,22",-0.13303072625698323
Marano Sul Panaro,Modena,Emilia-Romagna,889,"48,32",895,"48,64",0.0033632286995515697
Medolla,Modena,Emilia-Romagna,1340,"53,43",1111,"44,30",-0.0934312525499796
Mirandola,Modena,Emilia-Romagna,4391,"50,95",4043,"46,91",-0.041261560350960395
Modena,Modena,Emilia-Romagna,46486,"65,85",22286,"31,57",-0.35188739603326935
Montecreto,Modena,Emilia-Romagna,168,"39,90",243,"57,72",0.18248175182481752
Montefiorino,Modena,Emilia-Romagna,382,"46,99",409,"50,31",0.03413400758533502
Montese,Modena,Emilia-Romagna,515,"42,21",677,"55,49",0.13590604026845637
Nonantola,Modena,Emilia-Romagna,4030,"66,95",1847,"30,69",-0.37144801769610347
Novi Di Modena,Modena,Emilia-Romagna,2186,"63,33",1162,"33,66",-0.3058542413381123
Palagano,Modena,Emilia-Romagna,374,"45,39",428,"51,94",0.06733167082294264
Pavullo Nel Frignano,Modena,Emilia-Romagna,2696,"42,98",3429,"54,67",0.1196734693877551
Pievepelago,Modena,Emilia-Romagna,293,"36,76",486,"60,98",0.24775353016688062
Polinago,Modena,Emilia-Romagna,224,"38,69",338,"58,38",0.20284697508896798
