comune,provincia,regione,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,left_right_index
Arenzano,Genova,Liguria,2647,"46,39",2911,"51,02",-0.04749910039582584
Avegno,Genova,Liguria,661,"61,83",368,"34,42",0.2847424684159378
Bargagli,Genova,Liguria,458,"48,62",442,"46,92",0.017777777777777778
Bogliasco,Genova,Liguria,1029,"48,24",1035,"48,52",-0.0029069767441860465
Borzonasca,Genova,Liguria,334,"56,13",191,"32,10",0.2723809523809524
Busalla,Genova,Liguria,1292,"58,09",813,"36,56",0.22755344418052256
Camogli,Genova,Liguria,1311,"51,61",1125,"44,29",0.07635467980295567
Campo Ligure,Genova,Liguria,534,"40,89",734,"56,20",-0.15772870662460567
Campomorone,Genova,Liguria,1277,"43,72",1517,"51,93",-0.08589835361488905
Carasco,Genova,Liguria,788,"58,11",479,"35,32",0.24388318863456984
Casarza Ligure,Genova,Liguria,1621,"57,44",1063,"37,67",0.20789865871833085
Casella,Genova,Liguria,676,"53,99",544,"43,45",0.10819672131147541
Castiglione Chiavarese,Genova,Liguria,347,"53,72",265,"41,02",0.13398692810457516
Ceranesi,Genova,Liguria,766,"46,79",797,"48,69",-0.01983365323096609
Chiavari,Genova,Liguria,6529,"56,02",4573,"39,24",0.1761844712664385
Cicagna,Genova,Liguria,592,"68,05",245,"28,16",0.4145758661887694
Cogoleto,Genova,Liguria,1687,"43,11",2093,"53,49",-0.10740740740740741
Cogorno,Genova,Liguria,1335,"55,46",923,"38,35",0.1824623560673162
Coreglia Ligure,Genova,Liguria,70,"60,87",42,"36,52",0.25
Crocefieschi,Genova,Liguria,131,"45,80",146,"51,05",-0.05415162454873646
Davagna,Genova,Liguria,309,"45,58",330,"48,67",-0.03286384976525822
Fascia,Genova,Liguria,23,"57,50",17,"42,50",0.15
Favale Di Malvaro,Genova,Liguria,141,"74,21",43,"22,63",0.532608695652174
Fontanigorda,Genova,Liguria,47,"40,87",62,"53,91",-0.13761467889908258
Genova,Genova,Liguria,103219,"44,29",121821,"52,27",-0.08266086029150373
Gorreto,Genova,Liguria,40,"75,47",12,"22,64",0.5384615384615384
Isola Del Cantone,Genova,Liguria,333,"57,51",228,"39,38",0.18716577540106952
Lavagna,Genova,Liguria,2742,"53,32",2156,"41,92",0.11964066966108616
Leivi,Genova,Liguria,620,"58,71",387,"36,65",0.2313803376365442
Lorsica,Genova,Liguria,123,"68,33",54,"30,00",0.3898305084745763
Lumarzo,Genova,Liguria,357,"60,61",199,"33,79",0.2841726618705036
Masone,Genova,Liguria,698,"40,84",947,"55,41",-0.1513677811550152
Mele,Genova,Liguria,441,"37,28",705,"59,59",-0.23036649214659685
Mezzanego,Genova,Liguria,314,"62,67",154,"30,74",0.3418803418803419
Mignanego,Genova,Liguria,653,"43,65",787,"52,61",-0.09305555555555556
Moconesi,Genova,Liguria,612,"64,49",305,"32,14",0.33478735005452565
Moneglia,Genova,Liguria,770,"63,27",407,"33,44",0.308411214953271
Montebruno,Genova,Liguria,62,"77,50",16,"20,00",0.5897435897435898
Montoggio,Genova,Liguria,404,"51,14",347,"43,92",0.0758988015978695
Ne,Genova,Liguria,488,"57,75",307,"36,33",0.22767295597484277
Neirone,Genova,Liguria,212,"61,27",119,"34,39",0.2809667673716012
Orero,Genova,Liguria,161,"70,61",52,"22,81",0.5117370892018779
Pieve Ligure,Genova,Liguria,586,"48,19",592,"48,68",-0.0050933786078098476
Portofino,Genova,Liguria,145,"87,88",18,"10,91",0.7791411042944786
Propata,Genova,Liguria,21,"40,38",28,"53,85",-0.14285714285714285
Rapallo,Genova,Liguria,6665,"61,62",3582,"33,11",0.3008685468917732
Recco,Genova,Liguria,2513,"57,65",1684,"38,63",0.197522039552061
Rezzoaglio,Genova,Liguria,191,"51,48",100,"26,95",0.3127147766323024
Ronco Scrivia,Genova,Liguria,945,"56,02",683,"40,49",0.16093366093366093
Rondanina,Genova,Liguria,18,"72,00",6,"24,00",0.5
Rossiglione,Genova,Liguria,378,"30,14",843,"67,22",-0.3808353808353808
Rovegno,Genova,Liguria,137,"61,43",75,"33,63",0.29245283018867924
San Colombano Certenoli,Genova,Liguria,602,"61,49",322,"32,89",0.30303030303030304
Santa Margherita Ligure,Genova,Liguria,2286,"64,38",1143,"32,19",0.3333333333333333
Sant'Olcese,Genova,Liguria,896,"30,90",1901,"65,55",-0.35931355023239187
Santo Stefano D'Aveto,Genova,Liguria,229,"51,23",71,"15,88",0.5266666666666666
Savignone,Genova,Liguria,724,"57,41",479,"37,99",0.20365752285951788
Serra Riccò,Genova,Liguria,1466,"42,55",1863,"54,08",-0.11925503154100331
Sestri Levante,Genova,Liguria,3640,"49,29",3251,"44,02",0.05645044260629807
Sori,Genova,Liguria,983,"52,76",819,"43,96",0.09100998890122086
Tiglieto,Genova,Liguria,120,"49,38",120,"49,38",0.0
Torriglia,Genova,Liguria,594,"62,79",310,"32,77",0.3141592920353982
Tribogna,Genova,Liguria,139,"62,61",71,"31,98",0.3238095238095238
Uscio,Genova,Liguria,483,"58,69",307,"37,30",0.22278481012658227
Valbrevenna,Genova,Liguria,164,"49,70",145,"43,94",0.061488673139158574
Vobbia,Genova,Liguria,96,"55,49",71,"41,04",0.1497005988023952
Zoagli,Genova,Liguria,588,"61,25",311,"32,40",0.3081201334816463
Airole,Imperia,Liguria,67,"45,89",72,"49,32",-0.03597122302158273
Apricale,Imperia,Liguria,61,"45,86",63,"47,37",-0.016129032258064516
Aquila D'Arroscia,Imperia,Liguria,82,"94,25",4,"4,60",0.9069767441860465
Armo,Imperia,Liguria,38,"76,00",10,"20,00",0.5833333333333334
Aurigo,Imperia,Liguria,104,"66,67",47,"30,13",0.37748344370860926
Badalucco,Imperia,Liguria,191,"51,76",161,"43,63",0.08522727272727272
Bajardo,Imperia,Liguria,66,"61,11",30,"27,78",0.375
Bordighera,Imperia,Liguria,2091,"62,31",1112,"33,13",0.3056509522322822
Borghetto D'Arroscia,Imperia,Liguria,83,"69,17",34,"28,33",0.4188034188034188
Borgomaro,Imperia,Liguria,199,"72,89",63,"23,08",0.5190839694656488
Camporosso,Imperia,Liguria,1023,"59,00",668,"38,52",0.20993494973388527
Caravonica,Imperia,Liguria,97,"78,86",20,"16,26",0.6581196581196581
Castellaro,Imperia,Liguria,271,"62,16",152,"34,86",0.28132387706855794
Castel Vittorio,Imperia,Liguria,60,"61,22",34,"34,69",0.2765957446808511
Ceriana,Imperia,Liguria,162,"65,59",67,"27,13",0.4148471615720524
Cervo,Imperia,Liguria,187,"55,65",136,"40,48",0.15789473684210525
Cesio,Imperia,Liguria,60,"61,22",34,"34,69",0.2765957446808511
Chiusanico,Imperia,Liguria,153,"61,45",86,"34,54",0.2803347280334728
Chiusavecchia,Imperia,Liguria,108,"71,05",42,"27,63",0.44
Cipressa,Imperia,Liguria,234,"53,79",179,"41,15",0.13317191283292978
Civezza,Imperia,Liguria,125,"57,34",86,"39,45",0.1848341232227488
Cosio D'Arroscia,Imperia,Liguria,79,"81,44",13,"13,40",0.717391304347826
Costarainera,Imperia,Liguria,194,"63,19",102,"33,22",0.3108108108108108
Diano Arentino,Imperia,Liguria,127,"63,50",59,"29,50",0.3655913978494624
Diano Castello,Imperia,Liguria,464,"68,34",190,"27,98",0.41896024464831805
Diano Marina,Imperia,Liguria,1221,"65,15",567,"30,26",0.36577181208053694
Diano San Pietro,Imperia,Liguria,245,"65,16",115,"30,59",0.3611111111111111
