comune,provincia,regione,STEFANIA PROIETTI_total_votes,STEFANIA PROIETTI_total_perc,DONATELLA TESEI_total_votes,DONATELLA TESEI_total_perc,left_right_index
Assisi,Perugia,Umbria,6259,"49,27",6143,"48,36",0.009353330108047089
Bastia Umbra,Perugia,Umbria,4378,"51,18",4005,"46,82",0.04449481092687582
Bettona,Perugia,Umbria,803,"43,98",981,"53,72",-0.09977578475336323
Bevagna,Perugia,Umbria,976,"49,92",935,"47,83",0.021454735740450027
Campello Sul Clitunno,Perugia,Umbria,450,"50,00",420,"46,67",0.034482758620689655
Cannara,Perugia,Umbria,972,"48,07",998,"49,36",-0.013197969543147208
Cascia,Perugia,Umbria,640,"47,06",706,"51,91",-0.04903417533432392
Castel Ritaldi,Perugia,Umbria,601,"46,66",643,"49,92",-0.03376205787781351
Castiglione Del Lago,Perugia,Umbria,3393,"62,19",1935,"35,47",0.27364864864864863
Cerreto Di Spoleto,Perugia,Umbria,165,"36,03",288,"62,88",-0.271523178807947
Citerna,Perugia,Umbria,668,"49,52",654,"48,48",0.01059001512859304
Città Della Pieve,Perugia,Umbria,1804,"62,40",970,"33,55",0.300648882480173
Città Di Castello,Perugia,Umbria,8353,"52,01",7261,"45,21",0.06993723581401307
Collazzone,Perugia,Umbria,655,"46,49",730,"51,81",-0.05415162454873646
Corciano,Perugia,Umbria,5103,"55,69",3820,"41,69",0.1437857222907094
Costacciaro,Perugia,Umbria,297,"59,05",197,"39,17",0.20242914979757085
Deruta,Perugia,Umbria,1568,"37,08",2569,"60,75",-0.24196277495769883
Foligno,Perugia,Umbria,11975,"53,14",9936,"44,09",0.09305828122860664
Fossato Di Vico,Perugia,Umbria,424,"45,01",494,"52,44",-0.07625272331154684
Fratta Todina,Perugia,Umbria,552,"61,13",337,"37,32",0.24184476940382452
Giano Dell'Umbria,Perugia,Umbria,524,"39,40",772,"58,05",-0.19135802469135801
Gualdo Cattaneo,Perugia,Umbria,981,"37,15",1615,"61,15",-0.24422187981510016
Gualdo Tadino,Perugia,Umbria,2403,"39,58",3565,"58,72",-0.19470509383378015
Gubbio,Perugia,Umbria,7005,"54,75",5450,"42,59",0.12484945804897632
Lisciano Niccone,Perugia,Umbria,113,"68,90",47,"28,66",0.4125
Magione,Perugia,Umbria,2883,"52,88",2332,"42,77",0.10565675934803452
Marsciano,Perugia,Umbria,4414,"54,60",3486,"43,12",0.11746835443037974
Massa Martana,Perugia,Umbria,711,"49,14",698,"48,24",0.009226401703335699
Monte Castello Di Vibio,Perugia,Umbria,383,"54,79",299,"42,78",0.12316715542521994
Montefalco,Perugia,Umbria,1065,"44,28",1279,"53,18",-0.09129692832764505
Monteleone Di Spoleto,Perugia,Umbria,65,"26,21",174,"70,16",-0.4560669456066946
Monte Santa Maria Tiberina,Perugia,Umbria,370,"63,57",202,"34,71",0.2937062937062937
Montone,Perugia,Umbria,476,"61,50",267,"34,50",0.2812920592193809
Nocera Umbra,Perugia,Umbria,996,"42,99",1269,"54,77",-0.1205298013245033
Norcia,Perugia,Umbria,657,"34,47",1226,"64,32",-0.3021773765268189
Paciano,Perugia,Umbria,325,"73,03",95,"21,35",0.5476190476190477
Panicale,Perugia,Umbria,1320,"60,69",775,"35,63",0.26014319809069214
Passignano Sul Trasimeno,Perugia,Umbria,1103,"47,50",1134,"48,84",-0.013857845328565042
Perugia,Perugia,Umbria,37720,"53,22",31297,"44,16",0.09306402770331947
Piegaro,Perugia,Umbria,852,"60,47",503,"35,70",0.25756457564575647
Pietralunga,Perugia,Umbria,448,"47,21",466,"49,10",-0.019693654266958426
Poggiodomo,Perugia,Umbria,18,"40,91",26,"59,09",-0.18181818181818182
Preci,Perugia,Umbria,89,"26,33",240,"71,01",-0.45896656534954405
San Giustino,Perugia,Umbria,2294,"51,67",2027,"45,65",0.06179125202499421
Sant'Anatolia Di Narco,Perugia,Umbria,118,"50,00",113,"47,88",0.021645021645021644
Scheggia E Pascelupo,Perugia,Umbria,236,"44,19",282,"52,81",-0.0888030888030888
Scheggino,Perugia,Umbria,70,"29,79",161,"68,51",-0.3939393939393939
Sellano,Perugia,Umbria,172,"40,95",237,"56,43",-0.15892420537897312
Sigillo,Perugia,Umbria,520,"50,73",479,"46,73",0.04104104104104104
Spello,Perugia,Umbria,1973,"53,82",1571,"42,85",0.113431151241535
Spoleto,Perugia,Umbria,8051,"57,87",5486,"39,43",0.18948068257368694
Todi,Perugia,Umbria,3275,"47,91",3423,"50,07",-0.022096148103911615
Torgiano,Perugia,Umbria,1361,"44,22",1634,"53,09",-0.09115191986644407
Trevi,Perugia,Umbria,1432,"45,69",1606,"51,24",-0.05727452271231073
Tuoro Sul Trasimeno,Perugia,Umbria,745,"51,88",633,"44,08",0.08127721335268505
Umbertide,Perugia,Umbria,3762,"53,45",3105,"44,11",0.09567496723460026
Valfabbrica,Perugia,Umbria,621,"41,40",836,"55,73",-0.14756348661633492
Vallo Di Nera,Perugia,Umbria,86,"53,09",73,"45,06",0.08176100628930817
Valtopina,Perugia,Umbria,280,"51,28",255,"46,70",0.04672897196261682
Acquasparta,Terni,Umbria,948,"51,89",849,"46,47",0.05509181969949917
Allerona,Terni,Umbria,462,"66,28",214,"30,70",0.3668639053254438
Alviano,Terni,Umbria,230,"38,79",343,"57,84",-0.19720767888307156
Amelia,Terni,Umbria,2417,"45,88",2675,"50,78",-0.05066771406127259
Arrone,Terni,Umbria,509,"48,62",506,"48,33",0.002955665024630542
Attigliano,Terni,Umbria,271,"32,69",531,"64,05",-0.32418952618453867
Avigliano Umbro,Terni,Umbria,551,"48,46",560,"49,25",-0.008100810081008101
Baschi,Terni,Umbria,604,"53,36",503,"44,43",0.09123757904245709
Calvi Dell'Umbria,Terni,Umbria,221,"37,08",363,"60,91",-0.24315068493150685
Castel Giorgio,Terni,Umbria,386,"43,13",490,"54,75",-0.1187214611872146
Castel Viscardo,Terni,Umbria,574,"47,32",623,"51,36",-0.04093567251461988
Fabro,Terni,Umbria,477,"48,33",459,"46,50",0.019230769230769232
Ferentillo,Terni,Umbria,267,"35,46",459,"60,96",-0.2644628099173554
Ficulle,Terni,Umbria,289,"50,00",263,"45,50",0.04710144927536232
Giove,Terni,Umbria,319,"37,49",438,"51,47",-0.1571994715984148
Guardea,Terni,Umbria,307,"39,82",420,"54,47",-0.15543328748280605
Lugnano In Teverina,Terni,Umbria,244,"35,78",418,"61,29",-0.2628398791540785
Montecastrilli,Terni,Umbria,897,"38,88",1358,"58,86",-0.20443458980044346
Montecchio,Terni,Umbria,271,"43,36",338,"54,08",-0.11001642036124795
Montefranco,Terni,Umbria,163,"31,65",338,"65,63",-0.34930139720558884
Montegabbione,Terni,Umbria,217,"53,85",151,"37,47",0.1793478260869565
Monteleone D'Orvieto,Terni,Umbria,274,"50,09",256,"46,80",0.033962264150943396
