comune,provincia,regione,url,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,"CIVICI, CON DE PASCALE PRESIDENTE","CIVICI, CON DE PASCALE PRESIDENTE_perc",ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE_perc,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE_perc,FRATELLI D'ITALIA - GIORGIA MELONI,FRATELLI D'ITALIA - GIORGIA MELONI_perc,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI_perc,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA_perc,RETE CIVICA - ELENA UGOLINI PRESIDENTE,RETE CIVICA - ELENA UGOLINI PRESIDENTE_perc,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO","EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO_perc",LEALTA' COERENZA VERITA' - LUCA TEODORI,LEALTA' COERENZA VERITA' - LUCA TEODORI_perc,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,FEDERICO SERRA_total_votes,FEDERICO SERRA_total_perc,LUCA TEODORI_total_votes,LUCA TEODORI_total_perc,Unnamed: 34,None_perc,latitude,longitude
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,821,"34,42",138,"5,79",80,"3,35",80,"3,35",45,"1,89",841,"35,26",128,"5,37",95,"3,98",81,"3,40",56,"2,35",20.0,"0,84",1240,"49,13",1204,"47,70",59,"2,34",21,"0,83",,,44.123913099999996,10.937216088213724
Anzola Dell'Emilia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130010,2485,"53,33",165,"3,54",174,"3,73",210,"4,51",77,"1,65",760,"16,31",166,"3,56",158,"3,39",316,"6,78",94,"2,02",55.0,"1,18",3346,"66,04",1561,"30,81",97,"1,91",63,"1,24",,,44.5466843,11.1933259
Argelato,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130020,1769,"49,82",127,"3,58",154,"4,34",167,"4,70",46,"1,30",748,"21,06",127,"3,58",104,"2,93",194,"5,46",66,"1,86",49.0,"1,38",2536,"63,51",1327,"33,23",75,"1,88",55,"1,38",,,44.64157,11.34781
Baricella,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130030,921,"40,73",72,"3,18",82,"3,63",63,"2,79",51,"2,26",577,"25,52",90,"3,98",187,"8,27",152,"6,72",34,"1,50",32.0,"1,42",1277,"51,60",1115,"45,05",42,"1,70",41,"1,66",,,44.6461651,11.5332953
Bentivoglio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130050,961,"46,65",80,"3,88",91,"4,42",101,"4,90",31,"1,50",424,"20,58",77,"3,74",85,"4,13",130,"6,31",46,"2,23",34.0,"1,65",1357,"60,15",806,"35,73",54,"2,39",39,"1,73",,,44.6357918,11.4171933
Bologna,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130060,62743,"42,87",4930,"3,37",7721,"5,28",14860,"10,15",3629,"2,48",24764,"16,92",6818,"4,66",4406,"3,01",10238,"6,99",4756,"3,25",1499.0,"1,02",102589,"63,55",51567,"31,94",5548,"3,44",1733,"1,07",,,44.4938203,11.3426327
Borgo Tossignano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130070,425,"42,04",38,"3,76",32,"3,17",48,"4,75",17,"1,68",327,"32,34",18,"1,78",17,"1,68",45,"4,45",26,"2,57",18.0,"1,78",592,"55,64",425,"39,94",28,"2,63",19,"1,79",,,44.2756903,11.5898435
Budrio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130080,2862,"41,36",258,"3,73",260,"3,76",354,"5,12",117,"1,69",1799,"26,00",274,"3,96",220,"3,18",538,"7,77",155,"2,24",83.0,"1,20",4144,"55,41",3061,"40,93",182,"2,43",92,"1,23",,,44.537863,11.5354979
Calderara Di Reno,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130090,2921,"53,37",175,"3,20",214,"3,91",195,"3,56",71,"1,30",957,"17,49",203,"3,71",157,"2,87",389,"7,11",112,"2,05",79.0,"1,44",3798,"64,36",1893,"32,08",125,"2,12",85,"1,44",,,44.5630515,11.271693
Camugnano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130100,293,"38,50",18,"2,37",8,"1,05",15,"1,97",7,"0,92",221,"29,04",11,"1,45",149,"19,58",19,"2,50",9,"1,18",11.0,"1,45",351,"44,88",409,"52,30",10,"1,28",12,"1,53",,,44.170457,11.088812
