comune,provincia,regione,url,"CIVICI, CON DE PASCALE PRESIDENTE",sezioni_scrutinate,sezioni_tot,MOVIMENTO 5 STELLE,FRATELLI D'ITALIA - GIORGIA MELONI,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO",RETE CIVICA - ELENA UGOLINI PRESIDENTE,LEALTA' COERENZA VERITA' - LUCA TEODORI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,De Pascale Michele_total,Elena Ugolini_total,Luca Todori_total,Federico Serra_total,winning_candidate,perc_diff
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
Alto Reno Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130005,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Pascale Michele,
